Order_Processed,Date_Collected,Site,Stand_Age,Growth_Stage,Stand,Plot,Treatment,Ntrt,Ptrt,Catrt,Species,Tree_Number,TagID,Subplot,Shots,Canopy_Locations,Field_Notes,Number_of_Leaves,Total_Fresh_Mass,Total_Leaf_Area,Leaf_Area_for_SLA,Oven_Dry_Mass_with_Bag,Oven_Dry_Bag_Weight,Total_Oven_Dry_Mass,Dry_Mass_Per_Leaf,LA_per_Leaf,SLA_cm2_g,SLA_m2_kg,LDMC_g_g,LDMC,Lab_Notes,Caution,Date Processed,d15N,d13C,N,propC,CN,Ca,Fe,K,Mg,Mn,P 214,P 178,S,Sr,Zn,Stomatal_Density,Extra_Notes,Former_TagID,Species_ID
439,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,BE,1,714,C1,2,2,,7,3.37,219.213,219.166,NA,NA,1.68,0.24,31.32,130.46,13.05,0.5,498.52,tiny holes and brown spots,,8/4/2022,0.46,-28.1,24.57028519,0.492162719,20.03,5.612776084,0.045400058,5.430238273,1.140901514,0.95090443,0.838639517,0.87102201,1.472022127,0.007470971,0.023242105,NA,,,FAGR
440,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,BE,2,722,B1,2,2,small tree. Leaves were intermediate but in sunlit gap,3,3.35,260.4,260.33,NA,NA,1.36,0.45,86.8,191.42,19.14,0.41,405.97,Huge leaves! Small brown spots and holes,,8/4/2022,missing,-30.2418186,29.03410597,0.491404507,16.92507797,6.533667437,0.060811236,8.679407152,1.300424918,1.004122491,0.837208634,0.857675385,1.662675431,0.009588342,0.024017618,NA,Partial Run,,FAGR
441,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,BE,3,734,C2,3,2,"aimed for larger, untagged 2nd stem",6,2.92,258.057,258.028,NA,NA,1.34,0.22,43.01,192.56,19.26,0.46,458.9,"brown spots, tiny green spots, minor insect damage",,8/4/2022,0.52,-29.91,24.70937961,0.497681232,20.14138921,3.670434304,0.05321309,8.77487483,1.174658572,0.943854714,1.017427242,1.040766387,1.534920282,0.003700472,0.024247715,NA,,,FAGR
442,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,PC,1,2637,C1,2,2,,22,2.01,156.967,156.904,NA,NA,0.79,0.04,7.13,198.61,19.86,0.39,393.03,tiny holes and brown spots,,8/4/2022,-1.65,-25.2,32.18601302,0.50397862,15.65831157,9.243183698,0.064406662,13.91194151,2.312021754,0.265944392,1.364692854,1.39303649,1.71848644,0.023739,0.046917167,NA,,,PRPE2
443,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,PC,2,2644,C2,3,2,,33,6.98,473.332,473.307,NA,NA,2.84,0.09,14.34,166.66,16.67,0.41,406.88,tiny holes and brown spots,,8/4/2022,-1.666248539,-25.62733008,38.99742593,0.510476263,13.09394701,9.391783552,0.072833474,13.52472084,2.241384617,0.129358892,1.63792964,1.682392442,1.811394811,0.018168088,0.023326957,NA,,,PRPE2
444,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,PC,3,1813,C3,3,2,,9,5.46,298.577,298.412,NA,NA,2.36,0.26,33.18,126.45,12.64,0.43,432.23,"tiny holes, very large leaves! ONE LEAF FELL ON FLOOR WHILE WEIGHING",,8/4/2022,missing,-25.33641143,38.06263483,0.515324055,13.53884348,3.1112,0.0638,10.2912,1.2856,0.0683,1.4021,1.4339,1.6721,0.0055,0.0189,NA,Partial Run,,PRPE2
445,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,WB,1,712,C1,2,2,,12,5.85,318.126,318.126,NA,NA,2.29,0.19,26.51,138.92,13.89,0.39,391.45,"tiny holes and brown spots, insect damage on edge",,8/4/2022,-0.797847829,-28.67299882,24.17804172,0.499373888,20.6540254,7.143203227,0.044318414,7.363342612,1.765679943,1.478483114,0.870377323,0.898423963,1.34241388,0.017004632,0.169837809,NA,,,BEPA
446,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,WB,2,701,B1,2,2,,20,8.01,446.431,446.431,NA,NA,3.22,0.16,22.32,138.64,13.86,0.4,402,"tiny holes and tiny brown spots, minor insect damage along margins",,8/4/2022,missing,-28.68230671,23.7210995,0.50320118,21.21323172,5.473,0.0623,7.9206,1.4831,1.1094,0.439,0.7395,1.2282,0.0122,0.1808,NA,Partial Run,,BEPA
447,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,WB,3,410,C3,2,2,,7,5.23,247.898,247.182,NA,NA,2.01,0.29,35.41,122.98,12.3,0.38,384.32,"SMALL HOLESAND BROWN SPOTS, MINOR INSECT DAMAGE",,8/4/2022,-0.82,-27.28,30.37374244,0.499305446,16.43871996,6.654844245,0.056700223,8.52581611,1.746969686,1.358647556,0.949491107,0.991667287,1.693805502,0.016357761,0.151004321,NA,,,BEPA
448,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,YB,1,No tag,B3,2,2,,15,7.48,355.327,355.327,NA,NA,3.49,0.23,23.69,101.81,10.18,0.47,466.58,"brown spots,small holes",,8/4/2022,-0.6,-28.32,25.71300169,0.499631477,19.43108326,5.792479725,0.043852502,6.78474044,1.681811417,1.859407471,0.92526443,0.947548062,1.169949987,0.011631406,0.116168499,247,,,BEAL2
449,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,YB,2,No tag,A3,3,2,,7,2.14,127.74,127.425,NA,NA,0.89,0.13,18.25,143.17,14.32,0.42,415.89,"insect damage, holes, brown spots. 4 fuzzy leaves. Possible ridge damage on one leaf",Y,8/4/2022,-0.88,-28.84,26.77523028,0.492439876,18.39162057,6.886507229,0.05877592,10.42151094,1.980044024,1.448042427,1.019161382,1.043278524,1.243242145,0.012908853,0.117987982,231,,,BEAL2
450,8/1/2022,BEF,Young,Third,C1,2,N,1,0,0,YB,3,No tag,A3,4,2,2 small stems on the edge of subplot,5,2.08,136.617,136.401,NA,NA,0.84,0.17,27.32,162.38,16.24,0.4,403.85,"brown spots, insect damage, holes",,8/4/2022,missing,-29.79422367,20.38820601,0.482090951,23.64557975,5.618263918,0.054350137,7.526008681,1.690564252,1.329468183,0.891401896,0.914017615,1.052490078,0.012775433,0.11086074,138,Partial Run,,BEAL2
451,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,BE,1,1053,B2,2,2,,5,4.49,311.063,310.688,NA,NA,1.96,0.39,62.21,158.51,15.85,0.44,436.53,"holes, tiny brown and white spots, insect damage",,8/4/2022,missing,-28.33223952,26.32226893,0.487574669,18.52327663,7.226576372,0.047622718,9.986787521,1.250656387,1.167105305,1.059633239,1.142733476,1.389251139,0.016653701,0.027853714,NA,Partial Run,,FAGR
452,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,BE,2,748,A1,4,2,,6,5.09,271.406,271.134,NA,NA,2.41,0.4,45.23,112.5,11.25,0.47,473.48,very damaged! Bug spots on leaves and insect damage,Y,8/4/2022,-0.728208426,-27.02163774,25.05439022,0.494149786,19.72308172,5.373087973,0.054838589,8.562406023,1.009758241,1.349284035,1.109231151,1.127856331,1.428150358,0.007736831,0.021649001,NA,,,FAGR
453,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,BE,3,1013,B2,2,2,INSTEAD OF 484 - MORE SUN,8,4.64,456.748,456.748,NA,NA,1.94,0.24,57.09,235.44,23.54,0.42,418.1,"SMALL BROWN SPOTS, SMALL HOLES",,8/4/2022,missing,-29.66912753,26.75712961,0.485393234,18.14070645,7.143897145,0.05405181,10.04370809,1.486590987,1.10560884,1.033490898,1.045443344,1.445806449,0.012519521,0.024040114,NA,Partial Run,,FAGR
454,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,PC,1,2193,C2,2,2,,15,3.85,325.02,324.785,NA,NA,1.26,0.08,21.67,257.77,25.78,0.33,327.27,"chloritic, brown spots, small holes, insect damage",,8/4/2022,-1.615861626,-27.8799489,28.30705584,0.481777457,17.03200464,12.39609798,0.049832324,21.66560806,2.483122996,0.182505634,1.74775414,1.75024496,1.523425689,0.043733221,0.025779674,NA,,,PRPE2
455,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,PC,2,No tag,B2,4,2,,12,3.15,199.916,199.238,NA,NA,1.21,0.1,16.66,164.66,16.47,0.38,384.13,"brown spots, tiny holes, insect  damage",,8/4/2022,missing,-27.5084235,25.48923479,0.400432157,15.70985401,8.835764733,0.067286939,17.24015704,2.329743103,0.069587453,1.815981962,1.819236459,1.595342426,0.031137885,0.021637845,NA,Partial Run,,PRPE2
456,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,PC,3,480,A2,3,2,,12,2.71,180.388,180.266,NA,NA,1.2,0.1,15.03,150.22,15.02,0.44,442.8,"brown spots, tiny holes, insect  damage",,8/4/2022,-0.12,-25.77,28.6050368,0.514179907,17.97515279,7.583257572,0.053376171,12.04987325,1.498802358,0.095194505,1.741640545,1.760758785,1.535952096,0.023871063,0.024056595,NA,,,PRPE2
457,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,WB,1,483,B2,2,2,,9,3.48,204.615,204.395,NA,NA,1.26,0.14,22.74,162.22,16.22,0.36,362.07,"brown spots, tiny holes",,8/4/2022,-2.35,-29.59,23.3879687,0.480938764,20.56351152,9.586976808,0.050321864,12.75494226,1.735219284,1.991948752,1.132755247,1.141894152,1.428135091,0.02606263,0.301757272,NA,,,BEPA
458,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,WB,2,481,A2,2,2,,9,3.37,191.879,191.879,NA,NA,1.32,0.15,21.32,145.36,14.54,0.39,391.69,"brown spots, tiny holes, insect  damage",,8/4/2022,0.34,-30.22,23.19861132,0.504256493,21.74,6.46244518,0.041709564,9.517106439,1.385538242,0.938458674,1.044166844,1.083611988,1.24417013,0.018111344,0.180009479,NA,,,BEPA
459,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,WB,3,486,B1,2,2,,6,3.62,194.166,193.948,NA,NA,1.46,0.24,32.36,132.84,13.28,0.4,403.31,"brown spots, tiny holes, insect damage on edges",,8/4/2022,missing,-30.08061428,20.42094865,0.493543967,24.16851319,7.037489788,0.042968585,7.51662292,1.528995303,1.805824812,0.951238588,0.960724775,1.192860593,0.017037344,0.231924871,NA,Partial Run,,BEPA
460,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,YB,1,1007,?,3,2,,8,3.77,198.212,198.07,NA,NA,1.6,0.2,24.78,123.79,12.38,0.42,424.4,"brown spots, larger holes, insect damage, three fuzzy leaves",y,8/4/2022,-1.434028789,-27.79129815,25.4886669,0.485677441,19.0546427,9.218050909,0.047924628,10.18411338,1.619419747,2.352495682,1.337649526,1.333301246,1.345995515,0.023249066,0.174321612,281,,,BEAL2
461,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,YB,2,597,C2,2,2,,8,4.14,278.762,277.798,NA,NA,1.58,0.2,34.85,175.82,17.58,0.38,381.64,"brown spots, tiny holes, insect  damage on edge, one fuzzy leaf",,8/4/2022,-2.578857977,-29.38022733,22.71337592,0.466064681,20.51939275,11.84225372,0.045394979,12.58680119,2.560628815,2.207737768,1.207125321,1.235742831,1.303807034,0.034210285,0.245117644,244,,,BEAL2
462,8/1/2022,BEF,Young,Third,C1,3,Control,0,0,0,YB,3,8354,?,4,2,,5,3.92,282.658,280.669,NA,NA,1.62,0.32,56.53,173.25,17.33,0.41,413.27,"holes, lots of insect damage, brown spots",y,8/4/2022,missing,-29.22155346,26.24668552,0.486909027,18.55125772,9.766715854,0.115091923,8.944003995,1.934668983,2.991991963,1.454311346,1.44746537,1.461414303,0.021620328,0.242706533,214,Partial Run; Originally listed as 354 but most likely 8354,,BEAL2
463,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,BE,1,31,B2,3,2,,4,2.6,256.96,256.896,NA,NA,1.2,0.3,64.24,214.08,21.41,0.46,461.54,"all leaves damaged. Chosen leaves have brown spots, tiny insect dots, tiny holes",,8/4/2022,-0.848612381,-29.22891925,18.51640156,0.488345637,26.37367933,3.77164803,0.04594176,6.7812941,0.956561179,0.56124853,1.2784866,1.284596332,1.11379843,0.005074335,0.021094896,NA,,,FAGR
464,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,BE,2,761,?,3,2,not in 2019 inventory,6,3.31,282.555,282.555,NA,NA,1.57,0.26,47.09,179.97,18,0.47,474.32,tiny brown spots,,8/4/2022,-0.501750617,-30.2608008,27.38000668,0.492364401,17.98262531,6.393348218,0.060530654,6.608266722,1.196099123,1.536096615,1.389420001,1.403157112,1.597428238,0.009276822,0.024146381,NA,,,FAGR
465,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,BE,3,757,B1,3,2,,7,3.54,396.063,396.042,NA,NA,1.68,0.24,56.58,235.74,23.57,0.47,474.58,,,8/4/2022,-0.886925185,-30.10377121,27.90992115,0.48518681,17.38402653,9.389120601,0.058713597,7.734160932,1.236021407,1.862439963,1.633776496,1.691976418,1.730597527,0.011292604,0.023677621,NA,,,FAGR
466,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,PC,1,2474,?,3,2,,11,2.79,206.582,206.068,NA,NA,1.03,0.09,18.78,200.07,20.01,0.37,369.18,"tiny brown spots, tiny holes, insect damage",,8/4/2022,-0.948650229,-26.55715201,32.24880665,0.492515946,15.27237742,7.091076646,0.050866143,13.71896763,1.716110412,0.113857258,2.148084383,2.203367972,1.447373878,0.014911437,0.019152364,NA,Originally listed as 2471 but most likely 2474,,PRPE2
467,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,PC,2,994,C2,3,2,,25,5.87,417.168,417.168,NA,NA,2.34,0.09,16.69,178.28,17.83,0.4,398.64,"tiny brown spots, tiny holes, insect damage",,8/4/2022,-1.280213945,-25.32658831,31.85034964,0.501282583,15.73868383,6.432638847,0.053934255,12.70717712,2.194544263,0.078403272,2.566491273,2.60582565,1.519689511,0.012547812,0.018901244,NA,,,PRPE2
468,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,PC,3,1518,C1,NA,2,,14,2.23,179.98,179.807,NA,NA,0.82,0.06,12.86,219.28,21.93,0.37,367.71,"tiny brown spots, tiny holes, insect damage",,8/4/2022,-1.690648306,-26.4286221,31.31247682,0.493807252,15.77030315,7.093798472,0.054537949,12.64302534,2.364667525,0.258710247,2.287023343,2.326216747,1.300008101,0.014132133,0.017648944,NA,,,PRPE2
469,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,WB,1,449,B1,4,2,,14,5.6,274.444,274.306,NA,NA,2.41,0.17,19.6,113.82,11.38,0.43,430.36,,,8/4/2022,missing,-27.71435606,21.54925603,0.495790947,23.00733477,7.134650989,0.038200369,8.075571275,1.367375924,1.392729798,1.594581109,1.573403818,1.191522635,0.013173574,0.154290078,NA,Partial Run,,BEPA
470,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,WB,2,451,B1,NA,2,,8,5.75,293.404,293.33,NA,NA,2.35,0.29,36.68,124.82,12.48,0.41,408.7,"tiny brown spots, tiny holes, insect damage",,8/4/2022,missing,-29.45055257,23.74663842,0.484841863,20.41728411,5.830748857,0.052003154,9.052212401,1.263690476,1.517396866,1.572201118,1.574598522,1.320343707,0.012195645,0.122503702,NA,Partial Run,,BEPA
471,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,WB,3,464,C1,NA,2,,7,5.09,259.927,259.544,NA,NA,2.17,0.31,37.13,119.61,11.96,0.43,426.33,"tiny brown spots, tiny holes",,8/4/2022,-2.489115914,-27.4357795,25.05223314,0.497800234,19.87072742,7.897123542,0.040049099,8.507554732,1.292360045,2.069721034,1.670028448,1.686400556,1.404740148,0.014211748,0.149758596,NA,,,BEPA
472,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,YB,1,2634,C1,4,2,,7,3.55,223.422,222.46,NA,NA,1.35,0.19,31.92,164.79,16.48,0.38,380.28,"tiny brown spots, tiny holes, skeletonizer damage",,8/5/2022,missing,-28.64557445,27.6609426,0.486683871,17.59462352,6.887414193,0.060622096,11.60965566,1.606038007,2.668082485,2.048618484,2.048736053,1.39154129,0.012751611,0.121718645,207,Partial Run,,BEAL2
473,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,YB,2,674,B1,3,2,,5,4.32,348.219,348.198,NA,NA,1.62,0.32,69.64,214.94,21.49,0.38,375,"brown spots, holes, minor insect damage, large leaves",,8/5/2022,-1.969352975,-29.35867149,26.80764024,0.476083691,17.75925395,11.17918981,0.064336434,12.19184883,1.618781513,3.644568442,1.879867885,1.91895229,1.386397185,0.016814312,0.147181124,121,,,BEAL2
474,8/1/2022,BEF,Young,Third,C1,4,NP,1,1,0,YB,3,1706,A3,2,2,,7,3.98,331.087,331.036,NA,NA,1.46,0.21,47.3,226.74,22.67,0.37,366.83,"brown spots, tiny holes, minor insect damage",,8/5/2022,missing,-29.69620757,25.45902182,0.47584481,18.70101145,13.02873399,0.067356991,11.12707792,2.36321326,4.755157207,2.197548709,2.328837678,1.539618124,0.021032162,0.386753379,199,Partial Run,,BEAL2
475,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,BE,1,No tag,Unknown,NA,NA,,6,2.83,316.646,316.042,NA,NA,1.31,0.22,52.77,241.25,24.13,0.46,462.9,"brown spots, small holes, ",,8/5/2022,-0.054402613,-29.36853409,23.35882959,0.47862798,20.49023809,8.7721,0.0487,9.947,1.695,0.5847,1.0582,1.1016,1.4708,0.0163,0.036,NA,,,FAGR
476,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,PC,1,1065,A2,2,2,,14,1.91,159.14,158.108,NA,NA,0.71,0.05,11.37,222.69,22.27,0.37,371.73,"brown spots, tiny holes, insect damage on edges",,8/5/2022,-1.859804792,-26.75473752,27.76435167,0.487092844,17.54382202,13.53548125,0.079113404,13.34752847,2.607847858,0.119536361,2.004030294,1.996374071,1.483164304,0.034518439,0.027856064,NA,,,PRPE2
477,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,PC,2,1068,A1,2,2,,13,2.89,189.664,189.664,NA,NA,1.2,0.09,14.59,158.05,15.81,0.42,415.22,"brown spots, tiny holes, minor insect damage",,8/5/2022,missing,-27.11103414,27.11832146,0.48678898,17.95055718,14.42405654,0.037624275,12.6905015,2.075933831,0.093843846,1.804842615,1.803097954,1.493885913,0.041811239,0.01617307,NA,Partial Run,,PRPE2
478,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,PC,3,1066,A2,NA,NA,,35,7.06,534.42,534.392,NA,NA,2.66,0.08,15.27,200.9,20.09,0.38,376.77,"brown spots, tiny holes, minor insect damage",,8/5/2022,-1.849975314,-28.97236438,23.90392786,0.474455485,19.84843191,13.52316533,0.045452709,15.87529578,2.087586667,0.089320958,1.56868663,1.576204363,1.387749963,0.037642985,0.015349571,NA,,,PRPE2
479,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,WB,1,1067,A2,3,2,,6,5.52,255.218,254.801,NA,NA,2.27,0.38,42.54,112.25,11.22,0.41,411.23,"brown spots, tiny holes, minor insect damage, skeletonizer",,8/5/2022,missing,-28.34547973,23.37274162,0.494924706,21.17529529,7.030238461,0.049590092,10.68657236,1.362481623,0.676488326,1.219674962,1.238119389,1.306283049,0.022303296,0.240351163,NA,Partial Run,,BEPA
480,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,WB,2,2017,B1,2,2,,9,6.23,375.024,374.977,NA,NA,2.1,0.23,41.67,178.56,17.86,0.34,337.08,"brown spots, skeletonizer damage, minor insect damage",,8/5/2022,missing,-30.92330975,22.35484753,0.484100264,21.65527023,15.16969169,0.05051762,9.732320994,2.251319493,1.321147338,1.365103455,1.414405395,1.62014943,0.037871811,0.342258444,NA,Partial Run,,BEPA
481,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,WB,3,7585,A1,3,2,,9,4.88,245.344,245.318,NA,NA,2.09,0.23,27.26,117.38,11.74,0.43,428.28,,,8/5/2022,-1.025533575,-29.24577788,16.19965821,0.49185281,30.36192515,8.644367453,0.030732574,5.105155809,1.216985834,0.577644037,0.758715779,0.798811123,1.133334071,0.025240666,0.179853103,NA,,,BEPA
482,8/1/2022,BEF,Young,Third,C1,5,Ca,0,0,1,YB,1,2643,C1,4,2,,8,3.53,223.566,222.889,NA,NA,1.4,0.18,27.95,159.21,15.92,0.4,396.6,"holes, minor insect damage, three fuzzy leaves",,8/5/2022,-2.320000675,-29.5878146,23.87901471,0.481666688,20.1711291,14.5912,0.0522,8.5401,2.7406,1.6664,1.4729,1.5293,1.4576,0.0408,0.318,261,,,BEAL2
311,7/28/2022,BEF,Young,Third,C2,1,NP,1,1,0,BE,1,2585,B1,2,2,,10,4.03,222.546,222.006,NA,NA,1.97,0.2,22.25,112.69,11.27,0.49,488.83,"brown spots, tiny bugs",,7/29/2022,missing,missing,19.31452644,0.497888463,25.77792754,4.845869918,0.042008694,7.465554143,0.420176825,0.826028158,1.351469821,1.374962371,1.064548175,0.01186103,0.019645071,NA,,,FAGR
312,7/28/2022,BEF,Young,Third,C2,1,NP,1,1,0,BE,2,206,A1,3,2,,4,4.59,296.717,296.629,NA,NA,2.09,0.52,74.18,141.93,14.19,0.46,455.34,"included damaged leaves, herbivory, bug damage, disease",,7/29/2022,missing,missing,24.13456318,0.485401171,20.11228325,7.474823139,0.046380549,9.851715993,0.966703012,1.159867368,1.684017565,1.634169489,1.512066336,0.015275993,0.03158054,NA,,,FAGR
313,7/28/2022,BEF,Young,Third,C2,1,NP,1,1,0,BE,3,202,A1,3,2,,4,4.36,269.901,269.823,NA,NA,2,0.5,67.48,134.91,13.49,0.46,458.72,"brown spots, yellow spots, minor herbivory",,7/29/2022,missing,missing,23.2979341,0.4853695,20.8334717,7.195289596,0.047188039,9.254930816,0.854072557,1.309889942,1.622148196,1.74532756,1.455789744,0.015618616,0.031033549,NA,,,FAGR
314,7/28/2022,BEF,Young,Third,C2,1,NP,1,1,0,PC,1,1842,B1,4,2,,29,4.75,338.858,337.942,NA,NA,1.87,0.06,11.68,180.72,18.07,0.39,393.68,"brown spots, insect damage ",,7/29/2022,missing,missing,27.17649967,0.488024424,17.95758946,11.3282566,0.048199416,11.54043265,2.616347023,0.362624653,3.730583623,3.504024892,1.389500934,0.032927816,0.022956987,NA,,,PRPE2
315,7/28/2022,BEF,Young,Third,C2,1,NP,1,1,0,PC,2,2590,A1,2,2,,21,4.14,296.724,295.6,NA,NA,1.61,0.08,14.13,183.6,18.36,0.39,388.89,little brown spots,,7/29/2022,missing,missing,25.29446234,0.494176101,19.53692847,8.03369314,0.045058436,10.28072106,2.308657443,0.229225793,2.796182131,2.624129223,1.20305308,0.021871042,0.02176997,NA,,,PRPE2
