Date,Site ,Stand,Plot,Treatment,Species,Al,Ca,K,Mg,Mn,Na,P,Sr,S,N,C,P_first_week_collection,Comments
10/11/2015,HB,Ca,1,Ca,SM,15.40259322,7.483526185,5.603230274,0.549481537,0.828878425,0.154300975,0.651625424,0.034249304,1.175697568,10.37,500.85,NA,
10/11/2015,HB,Ca,2,Control,BE,35.75198406,8.873406974,6.816135679,1.862613945,0.749871331,0.389816939,0.4216041,0.028178079,3.547030871,10.84,491.11,NA,
10/11/2015,HB,Ca,2,Control,SM,22.06606361,6.318758427,4.398108471,0.952840709,0.904734692,0.177482506,0.254625857,0.028908089,0.582546557,8.83,507.1,NA,
10/11/2015,HB,HBM,3,Control,BE,14.01118236,5.402807318,5.119387035,1.005163845,0.904516016,0.144098744,0.274671019,0.017938908,0.390858015,10.92,499.52,NA,
10/11/2015,HB,HBM,3,Control,RM,12.51146544,5.709503287,3.660091318,0.920581753,1.230116003,0.143746298,0.719310522,0.011466499,0.544047999,14.34,506.92,NA,
10/11/2015,HB,HBM,2,N,BE,21.3747424,7.612629984,3.574174119,1.262109373,1.60023026,0.120435159,0.308911974,0.021357205,0.433291678,12.47,492.21,NA,
10/11/2015,HB,HBM,2,N,RM,9.386588615,6.28665082,5.305763429,0.882956421,0.936847979,0.170742562,0.579653041,0.016963426,0.403224185,11,498.19,NA,
10/11/2015,HB,HBM,1,NP,BE,16.11962426,6.945541272,3.983879443,0.632118656,1.311995958,0.10957394,0.265160923,0.022007397,0.37924215,9.73,511.83,NA,
10/11/2015,HB,HBM,1,NP,RM,15.46419087,7.323871919,4.368642254,0.942969449,1.511844562,0.176741224,0.838560136,0.016886275,0.457561699,11.51,511.94,NA,
10/11/2015,HB,HBM,4,P,BE,21.26625014,4.537732956,3.063210725,0.881493292,1.482200471,0.133219414,0.396041871,0.011409658,0.523060794,9.84,512.97,NA,
10/11/2015,HB,HBM,4,P,RM,9.267967845,5.397643324,8.941737638,1.23336477,1.529196289,0.181415159,2.563819004,0.008273626,0.649653658,12.78,505.86,1.393309,P concentration from first week of collection used in analysis
10/11/2015,HB,HBO,4,Control,BE,17.81450092,6.927749263,2.847626869,1.85582148,0.937019627,0.127446562,0.284167016,0.022715441,0.336647542,10.01,507.15,NA,
10/11/2015,HB,HBO,4,Control,SM,16.63414084,3.30413232,3.111678061,0.67175974,0.780688497,0.196876356,0.338886969,0.011141317,0.384149229,8.95,503.34,NA,
10/11/2015,HB,HBO,2,N,BE,17.70051902,6.515837074,3.318477714,1.221908399,0.410463594,0.102897125,0.584155264,0.012601181,0.409230116,11.66,502.02,NA,
10/11/2015,HB,HBO,2,N,SM,22.34433243,4.064714114,3.056090642,0.770676858,0.785740183,0.106996526,0.33325706,0.012992444,0.402670245,9.75,517.81,NA,
10/11/2015,HB,HBO,3,NP,BE,18.37598865,6.166902598,2.420273911,1.280017996,0.956403286,0.150062085,0.441329339,0.017165955,0.382799989,11.41,506.84,NA,
10/11/2015,HB,HBO,3,NP,SM,22.34356622,4.680653747,3.016012688,0.922730224,1.00619316,0.10299699,0.462732186,0.013521136,0.462904337,10.81,505.46,NA,
10/11/2015,HB,HBO,1,P,BE,11.12706176,4.068588826,4.87111182,1.009135702,0.447488704,0.133396292,0.798231142,0.012658631,0.309051431,11.01,509.99,NA,
10/11/2015,HB,HBO,1,P,SM,15.64130949,3.881620633,2.835316477,0.582945904,0.795048151,0.173565093,0.249107343,0.011964966,0.316002986,7.07,520.39,NA,
10/11/2015,JB,JBM,5,Ca,BE,16.27528802,7.793387667,4.859581477,0.823757106,0.360390973,0.139754827,0.260473599,0.0091013,0.489525901,10.41,481.88,NA,
10/11/2015,JB,JBM,5,Ca,RM,12.61382705,11.08729521,6.3511922,0.706422769,0.258712877,0.118306394,0.359644389,0.019810795,0.604406317,11.19,493.81,NA,
10/11/2015,JB,JBM,3,Control,BE,21.93056915,9.694297042,4.999417332,1.618162894,0.538554852,0.155109866,0.259245545,0.012051265,0.422792726,9.8,494.26,NA,
10/11/2015,JB,JBM,3,Control,RM,17.08078073,10.27973595,6.521083724,0.518594462,0.200471159,0.11577229,0.32627219,0.018626462,0.564123492,10.87,500.62,NA,
10/11/2015,JB,JBM,2,N,BE,18.49118443,8.585601805,5.111870705,1.533186508,0.943366068,0.174523424,0.192237321,0.010385045,0.45250792,11.86,484.43,NA,
10/11/2015,JB,JBM,2,N,RM,17.90703025,10.28988162,4.904420067,0.662572668,0.890364555,0.097369261,0.258533984,0.023457053,0.655669643,10.99,502.99,NA,
10/11/2015,JB,JBM,1,NP,BE,22.77733008,7.781176656,5.803500631,1.053348055,0.646875653,0.198002982,0.314496779,0.01046932,0.464489829,10.68,490.09,NA,
10/11/2015,JB,JBM,1,NP,RM,14.88649928,9.181710437,5.581787057,0.745537471,0.635537715,0.102212085,0.592326648,0.021985913,0.68428593,11.58,495.03,NA,
10/11/2015,JB,JBM,4,P,BE,20.11241825,8.406096615,5.741615804,1.315431733,0.711735675,0.246595668,0.684858046,0.00953313,2.561870092,13.41,486.8,NA,
10/11/2015,JB,JBM,4,P,RM,11.88445016,13.36025429,4.081599243,0.930139735,0.351187728,0.124013195,0.290954944,0.027817554,0.426552573,7.94,498.66,NA,
10/11/2015,JB,JBO,5,Ca,BE,18.93941261,7.685870917,1.91551684,0.941193091,1.022046602,0.105127378,0.894411503,0.021198118,0.353181736,9.6,497.67,NA,
10/11/2015,JB,JBO,5,Ca,SM,15.50761908,9.844452333,4.096076224,0.721366214,1.187708085,0.10844595,0.44911661,0.030570282,0.579420903,10.05,491.26,NA,
10/11/2015,JB,JBO,4,Control,BE,19.05763206,9.272669722,4.095973036,0.770184124,0.844803639,0.189884569,0.229601575,0.011397893,0.524317187,12.14,503.61,NA,
10/11/2015,JB,JBO,4,Control,SM,10.62314382,5.623081051,4.973829802,0.557518507,0.463123115,0.134382269,0.229750546,0.015011067,0.433774657,8.89,502.29,NA,
10/11/2015,JB,JBO,3,N,BE,21.79326925,6.268239981,3.241632722,1.096246123,0.594276132,0.109719806,0.275221288,0.012537649,0.437462051,10.99,502.58,NA,
10/11/2015,JB,JBO,3,N,SM,17.05321387,4.658532371,4.215488918,0.601317448,0.703856572,0.108951503,0.283889939,0.013390606,0.467519591,11.53,504.37,NA,
10/11/2015,JB,JBO,1,NP,BE,18.79220365,7.2434281,1.733149041,1.549343652,0.650897711,0.129205851,0.241849927,0.010724243,0.46122464,10.1,511.49,NA,
10/11/2015,JB,JBO,1,NP,SM,15.22456414,10.87671463,6.579763607,0.93548191,0.761725076,0.209737347,0.368642532,0.023509356,0.690269431,11.04,532.75,NA,
10/11/2015,JB,JBO,2,P,BE,18.89408947,6.562407016,4.226377023,1.62054227,0.811782537,0.135041485,0.351115757,0.018657143,0.434680589,9.29,510.55,NA,
10/11/2015,JB,JBO,2,P,SM,13.1631501,8.414935898,5.99282849,0.817313346,0.758216986,0.146393439,0.293164885,0.017324997,0.608874191,10.16,495.46,NA,
