Date,Site,Stand,Plot,Treatment,Species,Leaf_Area,Number_of_Leaves,Wet_Mass,Dry_Mass,N,C,Al,Ca,K,Mg,Mn,Na,P,Sr,S,CN,NP
10/4/2014,BEF,C2,1,NP,PC,345.15,22,4.86,1.54,9.279,519.346,17.73,11.56,1.21,1.45,0.19,1.62,0.5,0.04,0.34,55.97,18.558
10/4/2014,BEF,C2,1,NP,RM,544.27,19,7.63,2.93,7.382,504.25,9.28,7.89,2.8,1.07,0.46,0.6,0.47,0.02,0.34,68.31,15.70638
10/4/2014,BEF,C2,1,NP,WB,592.91,21,12.01,3.78,8.16,516.43,30.47,7.21,2.84,0.89,0.39,1.16,0.65,0.02,0.3,63.29,12.55385
10/4/2014,BEF,C2,1,NP,YB,300.97,7,4.67,1.46,9.998,524.042,22.74,7.14,3.31,0.93,0.38,1.55,0.91,0.02,0.35,52.41,10.98681
10/4/2014,BEF,C2,2,Control,BE,813.75,14,3.13,2.26,12.646,488.414,6.6,5.96,5.11,1.19,0.81,0.23,0.31,0.01,0.52,38.62,40.79355
10/4/2014,BEF,C2,2,Control,PC,398.34,23,3.27,1.84,10.862,502.861,12.7,13.18,7.72,2.22,0.25,0.91,0.41,0.03,0.4,46.3,26.49268
10/4/2014,BEF,C2,2,Control,RM,1204.7,25,14.21,7.82,7.873,492.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.61,NA
10/4/2014,BEF,C2,2,Control,WB,816.07,31,9.67,6.72,12.699,522.688,20.64,7.8,4.14,1.19,0.4,0.25,0.27,0.01,0.53,41.16,47.03333
10/4/2014,BEF,C2,2,Control,YB,468.43,18,2.44,1.32,10.648,480.842,22.34,10.53,6.41,1.58,0.42,0.98,0.22,0.02,0.39,45.16,48.4
10/4/2014,BEF,C2,3,P,BE,1848.14,33,8.31,6.26,9.139,485.332,29.53,7.03,5.58,1.27,1.01,0.1,0.41,0.01,0.52,53.11,22.29024
10/4/2014,BEF,C2,3,P,PC,335.68,23,2.39,1.87,8.015,511.72,11.49,14.32,9.04,2.09,0.22,0.42,1.07,0.04,0.32,63.85,7.490654
10/4/2014,BEF,C2,3,P,RM,567.39,10,5.05,4,7.407,500.498,5.54,7.19,3.38,1.19,0.55,0.07,0.51,0.01,0.38,67.57,14.52353
10/4/2014,BEF,C2,3,P,WB,658.15,26,6.05,4.84,7.804,486.122,35.14,11.45,7.63,1.96,0.57,0.24,0.92,0.03,0.37,62.29,8.482609
10/4/2014,BEF,C2,3,P,YB,490.62,15,2.31,1.89,8.217,471.867,22.21,14.53,6.21,2.8,0.72,0.3,0.58,0.03,0.27,57.43,14.16724
10/4/2014,BEF,C2,4,N,BE,1069.88,20,4.08,3.37,10.354,487.435,3.63,7.2,4.32,1.26,0.79,0.09,0.24,0.01,0.48,47.08,43.14167
10/4/2014,BEF,C2,4,N,PC,190.3,13,1.18,1.01,12.582,510.434,12.07,11.42,7.46,2.41,0.25,0.61,0.42,0.03,0.47,40.57,29.95714
10/4/2014,BEF,C2,4,N,RM,840.68,22,7.49,6.13,7.38,500.263,4.5,10.03,4.18,1.38,0.52,0.04,0.28,0.02,0.38,67.79,26.35714
10/4/2014,BEF,C2,4,N,WB,1027.44,39,9.06,7.32,10.48,517.654,19.92,5.88,4.91,1.01,0.39,0.17,0.24,0.01,0.38,49.39,43.66667
10/4/2014,BEF,C2,4,N,YB,372.9,13,1.22,1.04,12.793,483.13,25.07,11.41,7.81,1.83,0.45,0.32,0.24,0.03,0.29,37.77,53.30417
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
