Site,Stand,Plot,Treatment,Age,Subplot,Species,previous tags,TagID,DBH2008,DBH2009 ,DBH2010,DBH2011,DBH2015,DBH2019,DBH2023,,liveBA11,liveBA15,liveBA19,liveBA23,,BA2011,BA2015,BA2019,BA2023,,chgBA11_15,chgBA15_19,chgBA19_23,,RBAIyr11_15,RBAIyr15_19,RBAIyr19_23,,deadyr,dead2008-2010,dead2011,dead2015,dead2019,dead2023,notes2008-10,notes2011,notes2015,notes2019,notes2023,,ingrowthyear,ingrowth5x5
BEF,C1,1,P,Mid,B1,WB,,1811,,,,,11.8,13.3,15.1,,0,109.4,138.9,179.1,,0,109.4,138.9,179.1,,,0.270396438,0.28899316,,,0.06165844,0.065522569,,,,,,,,Added to inventory in 2014,,,,,,2015,out
BEF,C1,1,P,Mid,B2,YB,,1808,,,,,11.7,13.1,14.6,,0,107.5,134.8,167.4,,0,107.5,134.8,167.4,,,0.253634305,0.242118758,,,0.058138989,0.055700628,,,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,B3,WB,,1805,,,,,11.2,13.1,14.8,,0,98.5,134.8,172,,0,98.5,134.8,172,,,0.368064413,0.276382495,,,0.081500281,0.06290686,,,,,,,,Added to inventory in 2014,,,,,,2015,out
BEF,C1,1,P,Mid,B3,WB,,1806,,,,,11.8,13.5,15,,0,109.4,143.1,176.7,,0,109.4,143.1,176.7,,,0.308891123,0.234567901,,,0.069611049,0.054092553,,,,,,,,Added to inventory in 2014,,,,,,2015,out
BEF,C1,1,P,Mid,B3,PC,,2652,,,,,9.6,10.9,11.6,,0,72.4,93.3,105.7,,0,72.4,93.3,105.7,,,0.289171007,0.132564599,,,0.065559321,0.031610481,,,,,,,,,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C1,WB,,1713,,,,,10.6,12.1,13.6,,0,88.2,115,145.3,,0,88.2,115,145.3,,,0.303043788,0.263301687,,,0.068414449,0.060173072,,,,,,,,Added to inventory in 2014,,new add; inside 5x5,,,,2015,in
BEF,C1,1,P,Mid,C1,PC,,2647,,,,,10.5,12.3,13.6,,0,86.6,118.8,145.3,,0,86.6,118.8,145.3,,,0.372244898,0.222552713,,,0.082325539,0.051518453,,,,,,,,,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C2,PC,,2200,,,,,10.3,11.2,11.6,,0,83.3,98.5,105.7,,0,83.3,98.5,105.7,,,0.182392308,0.072704082,,,0.042774492,0.017700489,,,,,,,,,,,,,,2015,out
BEF,C1,1,P,Mid,C2,WB,,1338,,,,,11.6,13.5,15.5,,0,105.7,143.1,188.7,,0,105.7,143.1,188.7,,,0.354414388,0.31824417,,,0.078792428,0.071516751,,,,,,,,,Not >10 cm DBH,,,,,2015,out
BEF,C1,1,P,Mid,C2,PC,,2638,,,,,10,10.8,11,,0,78.5,91.6,95,,0,78.5,91.6,95,,,0.1664,0.037379973,,,0.039230485,0.009216785,,,,,,,,,Not >10 cm DBH,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C2,WB,,2646,,,,,9.9,10.9,12.5,,0,77,93.3,122.7,,0,77,93.3,122.7,,,0.212223243,0.315124989,,,0.049290284,0.070882342,,,,,,,,,Not >10 cm DBH,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C2,WB,,1830,,,,,11.4,13.7,15.3,,0,102.1,147.4,183.9,,0,102.1,147.4,183.9,,,0.444213604,0.247216154,,,0.096245587,0.056782059,,,,,,,,Added to inventory in 2014,Not >10 cm DBH,,,,,2015,out
BEF,C1,1,P,Mid,C3,PC,,1802,,,,,9.9,10.5,11.1,,0,77,86.6,96.8,,0,77,86.6,96.8,,,0.124885216,0.11755102,,,0.029857301,0.028174527,,,,,,,,,Not >10 cm DBH,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C3,WB,,1801,,,,,11.5,13.1,14,,0,103.9,134.8,153.9,,0,103.9,134.8,153.9,,,0.297618147,0.142124585,,,0.067300536,0.033780581,,,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C3,WB,,1734,,,,,11,12.2,13.2,,0,95,116.9,136.8,,0,95,116.9,136.8,,,0.230082645,0.17065305,,,0.053133851,0.04017653,,,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,C3,WB,,1803,,,,,11.7,14.5,16.7,,0,107.5,165.1,219,,0,107.5,165.1,219,,,0.535904741,0.32646849,,,0.113245813,0.073184112,,,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out
BEF,C1,1,P,Mid,A2,PC,,7736,,,,,,11.2,11.2,,0,0,98.5,0,,0,0,98.5,98.5,,,,0,,,,0,,23,,,,,dead,,,,new addition,actual diam 10.5,,2019,out
BEF,C1,1,P,Mid,A2,PC,,7728,,,,,,8.9,8.9,,0,0,62.2,0,,0,0,62.2,62.2,,,,0,,,,0,,23,,,,,dead,,,,new addition,not found,,2019,out
BEF,C1,1,P,Mid,B1,PC,,7761,,,,,,10.4,10.4,,0,0,84.9,0,,0,0,84.9,84.9,,,,0,,,,0,,23,,,,,dead,,,,new addition,actual diam 10.1,,2019,out
BEF,C1,1,P,Mid,A1,PC,,7730,,,,,,10.1,10.6,,0,0,80.1,88.2,,0,0,80.1,88.2,,,,0.101460641,,,,0.024453489,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A1,WB,,7731,,,,,,10.5,11.5,,0,0,86.6,103.9,,0,0,86.6,103.9,,,,0.199546485,,,,0.046536237,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A1,WB,,7779,,,,,,11,12.9,,0,0,95,130.7,,0,0,95,130.7,,,,0.375289256,,,,0.082925331,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A1,WB,,7780,,,,,,10.1,11.3,,0,0,80.1,100.3,,0,0,80.1,100.3,,,,0.251740025,,,,0.057739042,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A1,WB,,7781,,,,,,11.2,12,,0,0,98.5,113.1,,0,0,98.5,113.1,,,,0.147959184,,,,0.035098339,,,,,,,,,,,new addition attached to 1812,attached to 1812,,2019,out
BEF,C1,1,P,Mid,A1,WB,,7787,,,,,,10.5,11.7,,0,0,86.6,107.5,,0,0,86.6,107.5,,,,0.241632653,,,,0.055597326,,,,,,,,,,,new addition attached to 1812,attached to 1812,,2019,out
BEF,C1,1,P,Mid,A2,WB,,7732,,,,,,11.5,12.4,,0,0,103.9,120.8,,0,0,103.9,120.8,,,,0.162646503,,,,0.038393408,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A2,WB,,7733,,,,,,11.9,13.6,,0,0,111.2,145.3,,0,0,111.2,145.3,,,,0.306122449,,,,0.069044968,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A2,WB,,7734,,,,,,11.2,12.2,,0,0,98.5,116.9,,0,0,98.5,116.9,,,,0.186543367,,,,0.043688514,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A2,PC,,7735,,,,,,10.1,10.8,,0,0,80.1,91.6,,0,0,80.1,91.6,,,,0.143417312,,,,0.034072981,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A2,PC,,7737,,,,,,10.9,11.2,,0,0,93.3,98.5,,0,0,93.3,98.5,,,,0.055803384,,,,0.01366806,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A3,PC,,7738,,,,,,9.5,9.9,,0,0,70.9,77,,0,0,70.9,77,,,,0.08598338,,,,0.020835571,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A3,PC,,7739,,,,,,10.2,10.9,,0,0,81.7,93.3,,0,0,81.7,93.3,,,,0.141964629,,,,0.033744384,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A3,PC,,7740,,,,,,10.8,11.6,,0,0,91.6,105.7,,0,0,91.6,105.7,,,,0.153635117,,,,0.03637545,,,,,,,,,,,new add; inside 5x5,,,2019,in
BEF,C1,1,P,Mid,A3,WB,,7729,,,,,,10.9,12.3,,0,0,93.3,118.8,,0,0,93.3,118.8,,,,0.273377662,,,,0.062280738,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,B1,ASH,,7760,,,,,,11.2,13.2,,0,0,98.5,136.8,,0,0,98.5,136.8,,,,0.389030612,,,,0.085620297,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,B1,WB,,7759,,,,,,12.5,14.3,,0,0,122.7,160.6,,0,0,122.7,160.6,,,,0.308736,,,,0.069579357,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,B1,PC,,7753,,,,,,10.6,11.7,,0,0,88.2,107.5,,0,0,88.2,107.5,,,,0.218316127,,,,0.050606294,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,B2,ASH,,7743,,,,,,10.2,11.5,,0,0,81.7,103.9,,0,0,81.7,103.9,,,,0.271145713,,,,0.061814946,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,B3,WB,,7741,,,,,,12.9,14.9,,0,0,130.7,174.4,,0,0,130.7,174.4,,,,0.334114536,,,,0.074727295,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,B3,WB,,7742,,,,,,12.6,14.4,,0,0,124.7,162.9,,0,0,124.7,162.9,,,,0.306122449,,,,0.069044968,,,,,,,,,,,new addition   check ID - written as PB,,,2019,out
BEF,C1,1,P,Mid,C1,PC,,7756,,,,,,10.2,11.2,,0,0,81.7,98.5,,0,0,81.7,98.5,,,,0.205690119,,,,0.047873664,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C1,PC,,7758,,,,,,11.1,12.1,,0,0,96.8,115,,0,0,96.8,115,,,,0.188296405,,,,0.044073795,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C1,WB,,7757,,,,,,10.8,12.5,,0,0,91.6,122.7,,0,0,91.6,122.7,,,,0.339591907,,,,0.075828707,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C2,WB,,7746,,,,,,10.3,11.9,,0,0,83.3,111.2,,0,0,83.3,111.2,,,,0.334810067,,,,0.074867343,,,,,,,,,,,new addition   check ID - written as PB,,,2019,out
BEF,C1,1,P,Mid,C2,Ash,,7748,,,,,,9.9,12.1,,0,0,77,115,,0,0,77,115,,,,0.49382716,,,,0.105541597,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C2,WB,,7749,,,,,,12.1,13.9,,0,0,115,151.7,,0,0,115,151.7,,,,0.319650297,,,,0.071802375,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C3,WB,7742,7747,,,,,,10.7,12,,0,0,89.9,113.1,,0,0,89.9,113.1,,,,0.257751769,,,,0.059006764,,,,,,,,,,,new addition,original 7742 was probably error,,2019,out
BEF,C1,1,P,Mid,C3,PC,,7755,,,,,,10.4,10.5,,0,0,84.9,86.6,,0,0,84.9,86.6,,,,0.019323225,,,,0.004796191,,,,,,,,,,,new add; inside 5x5,,,2019,in
BEF,C1,1,P,Mid,C3,PC,,7754,,,,,,10.8,11.2,,0,0,91.6,98.5,,0,0,91.6,98.5,,,,0.075445816,,,,0.018350154,,,,,,,,,,,new add; inside 5x5,,,2019,in
BEF,C1,1,P,Mid,C3,WB,,7752,,,,,,12,13.8,,0,0,113.1,149.6,,0,0,113.1,149.6,,,,0.3225,,,,0.072380529,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C3,WB,,7751,,,,,,10.5,11.5,,0,0,86.6,103.9,,0,0,86.6,103.9,,,,0.199546485,,,,0.046536237,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,C3,WB,,7744,,,,,,10.2,11.6,,0,0,81.7,105.7,,0,0,81.7,105.7,,,,0.293348712,,,,0.06642154,,,,,,,,,,,new addition,,,2019,out
BEF,C1,1,P,Mid,A1,PC,,7965,,,,,,,10.8,,0,0,0,91.6,,0,0,0,91.6,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A1,WB,,7966,,,,,,,12,,0,0,0,113.1,,0,0,0,113.1,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A1,WB,,8000,,,,,,,10.6,,0,0,0,88.2,,0,0,0,88.2,,,,,,,,,,,,,,,,,,,,new add; inside 5x5,,2023,in
BEF,C1,1,P,Mid,A2,BE,,7194,,,,,,,11.3,,0,0,0,100.3,,0,0,0,100.3,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A2,YB,,7186,,,,,,,10.3,,0,0,0,83.3,,0,0,0,83.3,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A2,BE,,7955,,,,,,,9.7,,0,0,0,73.9,,0,0,0,73.9,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A3,RM,,7970,,,,,,,10.7,,0,0,0,89.9,,0,0,0,89.9,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A3,BE,,7982,,,,,,,10.6,,0,0,0,88.2,,0,0,0,88.2,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A3,BE,,7983,,,,,,,11,,0,0,0,95,,0,0,0,95,,,,,,,,,,,,,,,,,,,,new add; inside 5x5,,2023,in
BEF,C1,1,P,Mid,A3,PC,,7984,,,,,,,10.5,,0,0,0,86.6,,0,0,0,86.6,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B1,WB,,7971,,,,,,,10.6,,0,0,0,88.2,,0,0,0,88.2,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B1,PC,,7980,,,,,,,10.1,,0,0,0,80.1,,0,0,0,80.1,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B1,WB,,7979,,,,,,,11.2,,0,0,0,98.5,,0,0,0,98.5,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B2,BE,,7967,,,,,,,11.1,,0,0,0,96.8,,0,0,0,96.8,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B2,ASH,,7976,,,,,,,11,,0,0,0,95,,0,0,0,95,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B2,PC,,7192,,,,,,,11,,0,0,0,95,,0,0,0,95,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B2,PC,,7977,,,,,,,10.9,,0,0,0,93.3,,0,0,0,93.3,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B2,ASH,,7958,,,,,,,10.3,,0,0,0,83.3,,0,0,0,83.3,,,,,,,,,,,,,,,,,,,,new add; inside 5x5,,2023,in
BEF,C1,1,P,Mid,B2,WB,,7978,,,,,,,10.6,,0,0,0,88.2,,0,0,0,88.2,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B2,WB,,7956,,,,,,,10.1,,0,0,0,80.1,,0,0,0,80.1,,,,,,,,,,,,,,,,,,,,new add; inside 5x5,,2023,in
BEF,C1,1,P,Mid,B3,WB,,7985,,,,,,,11,,0,0,0,95,,0,0,0,95,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,B3,WB,,7986,,,,,,,10,,0,0,0,78.5,,0,0,0,78.5,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C1,YB,,7972,,,,,,,10.4,,0,0,0,84.9,,0,0,0,84.9,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C1,BE,,7973,,,,,,,10.1,,0,0,0,80.1,,0,0,0,80.1,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C1,WB,,7974,,,,,,,10.7,,0,0,0,89.9,,0,0,0,89.9,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C2,BE,,7975,,,,,,,11.4,,0,0,0,102.1,,0,0,0,102.1,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C2,WB,,7981,,,,,,,10.6,,0,0,0,88.2,,0,0,0,88.2,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C2,PC,,7191,,,,,,,10.2,,0,0,0,81.7,,0,0,0,81.7,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C3,WB,,7987,,,,,,,11.3,,0,0,0,100.3,,0,0,0,100.3,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C3,WB,,7899,,,,,,,10.5,,0,0,0,86.6,,0,0,0,86.6,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,C3,PC,,7736,,,,,,,12.3,,0,0,0,118.8,,0,0,0,118.8,,,,,,,,,,,,,,,,,,,,new add; outside 5x5,,2023,out
BEF,C1,1,P,Mid,A1,PC,,412,,,,12.2,12.2,12.2,,,116.9,116.9,0,0,,116.9,116.9,116.9,0,,0,0,,,0,0,,,19,,,,dead,,,,,"fallen, tag removed",,,,
BEF,C1,1,P,Mid,A1,PC,,413,,,,11.6,12.6,12.6,,,105.7,124.7,0,0,,105.7,124.7,124.7,0,,0.179845422,0,,,0.042212501,0,,,19,,,,dead,,,,,standing,tag removed,,,
BEF,C1,1,P,Mid,A2,WB,,1037,,,,10.3,13.1,15.2,17.2,,83.3,134.8,181.5,232.4,,83.3,134.8,181.5,232.4,,0.61758884,0.34630849,0.280470914,,0.127760906,0.077174704,0.063756996,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B1,BE,,435,,,,14.8,16.8,18.7,21.1,,172,221.7,274.6,349.7,,172,221.7,274.6,349.7,,0.288531775,0.238981009,0.273156224,,0.065427208,0.055033288,0.062234553,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B1,WB,,1036,,,,10.2,12,13,14.1,,81.7,113.1,132.7,156.1,,81.7,113.1,132.7,156.1,,0.384083045,0.173611111,0.176390533,,0.084652289,0.040833,0.041448695,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B1,WB,,1047,,,,10.5,12.7,14.7,16.5,,86.6,126.7,169.7,213.8,,86.6,126.7,169.7,213.8,,0.462947846,0.33976068,0.259891712,,0.099783528,0.075862591,0.059456927,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B1,WB,,1051,,,,10.7,12.5,13.8,15.2,,89.9,122.7,149.6,181.5,,89.9,122.7,149.6,181.5,,0.364748013,0.218816,0.213190506,,0.080844253,0.050714043,0.049499536,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B1,WB,,1049,,,,10.9,13.2,14.8,15.4,,93.3,136.8,172,186.3,,93.3,136.8,172,186.3,,0.46654322,0.257116621,0.082724617,,0.10045862,0.058873043,0.02006889,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B2,WB,,791,,10,,11.5,14.3,15.9,17,,103.9,160.6,198.6,227,,103.9,160.6,198.6,227,,0.546238185,0.236295173,0.143150983,,0.115113564,0.054461053,0.034012761,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B2,WB,,429,,,,12.8,14.5,15.4,16,,128.7,165.1,186.3,201.1,,128.7,165.1,186.3,201.1,,0.28326416,0.127990488,0.07944004,,0.064336648,0.030567303,0.019294383,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B2,WB,,420,,,,13,16.9,18.15,19.5,,132.7,224.3,258.7,298.6,,132.7,224.3,258.7,298.6,,0.69,0.153399741,0.15429274,,0.140175425,0.036322583,0.036523114,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B3,ASH,,1807,,,,,13.4,16.4,18.9,,0,141,211.2,280.6,,0,141,211.2,280.6,,,0.497883716,0.328115705,,,0.106291371,0.073517128,,,,,,,,Added to inventory in 2014,,,,,,,
BEF,C1,1,P,Mid,B3,PC,,1027,,,,10.2,11.4,12.2,12.5,,81.7,102.1,116.9,122.7,,81.7,102.1,116.9,122.7,,0.249134948,0.145275469,0.049785004,,0.05718828,0.034492841,0.012220413,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B3,WB,,418,,,,11.5,14.1,15.6,16.2,,103.9,156.1,191.1,206.1,,103.9,156.1,191.1,206.1,,0.503289225,0.224083296,0.078402367,,0.107288109,0.051847412,0.019049331,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,C1,PC,,443,,,,10.7,11.7,12.45,12.6,,89.9,107.5,121.7,124.7,,89.9,107.5,121.7,124.7,,0.195650275,0.132314267,0.024241544,,0.045685394,0.031553471,0.00600606,,,,,,,,,Connected to #442,,,,,,
BEF,C1,1,P,Mid,C1,PC,,442,,,,13.5,14.4,14.7,14.6,,143.1,162.9,169.7,167.4,,143.1,162.9,169.7,167.4,,0.137777778,0.042100694,-0.013559165,,0.032795559,0.010362971,-0.003407165,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,C1,PC,,441,,,,12.7,15.2,17,19.1,,126.7,181.5,227,286.5,,126.7,181.5,227,286.5,,0.432450865,0.250865651,0.262318339,,0.094006578,0.057554279,0.059966703,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,C1,WB,,439,,,,12.5,14.5,16.1,18.1,,122.7,165.1,203.6,257.3,,122.7,165.1,203.6,257.3,,0.3456,0.232865636,0.263878708,,0.077032961,0.053729011,0.060294111,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,C1,WB,,437,,,,12.9,15.4,17.2,18.7,,130.7,186.3,232.4,274.6,,130.7,186.3,232.4,274.6,,0.425154738,0.247427897,0.182024067,,0.092610841,0.05682691,0.042693293,,,,,,,,,,,,,,,
BEF,C1,1,P,Mid,B2,BE,,775,,5.9,,6.5,7.8,8.6,9.3,,33.2,47.8,58.1,67.9,,33.2,47.8,58.1,67.9,,0.44,0.2156476,0.1694159,,,,,,,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",,,,,
BEF,C1,1,P,Mid,C1,PC,,,,,,,11.4,11.4,,,0,102.1,0,0,,0,102.1,102.1,0,,,0,,,,0,,,19,,,,dead,,,,"Was recorded in 2-10 cm tree sheet, maybe needs a tag or could be a mistake",not found,,,,
BEF,C1,1,P,Mid,C2,BE,,787,,5.7,,,,7,7.3,,0,0,38.5,41.9,,0,0,38.5,41.9,,,,0.08755102,,,,,,,,,,,,tagged despite size class because it was shot in 2009,tagged for repeated foliage sampling.  Not found in 2011; probably outside plot,Tree not found; assumed dead,,,,,
BEF,C1,2,N,Mid,A3,WB,,1028,,,,10.7,13.1,14.9,16.8,,89.9,134.8,174.4,221.7,,89.9,134.8,174.4,221.7,,0.498908202,0.293689179,0.271294086,,0.106480486,0.066491716,0.06184593,,,,,,,,,new add; outside,,,,,2011,out
BEF,C1,2,N,Mid,B2,PC,,1039,,,,11,13.2,14,14.9,,95,136.8,153.9,174.4,,95,136.8,153.9,174.4,,0.44,0.124885216,0.132704082,,0.095445115,0.029857301,0.031642241,,,,,,,,,new add; outside,,,,,2011,out
BEF,C1,2,N,Mid,B1,PC,,1816,,,,,10.9,10.9,,,0,93.3,0,0,,0,93.3,93.3,0,,#DIV/0!,0,-1,,,0,,,19,,,,dead,,,,,,,,2015,out
BEF,C1,2,N,Mid,A1,WB,,1818,,,,,11.7,13.3,14.85,,0,107.5,138.9,173.2,,0,107.5,138.9,173.2,,#DIV/0!,0.29220542,0.246664594,,,0.066185789,0.056665204,,,,,,,,,Not >10 cm DBH,new add; inside 5x5,,,,2015,in
BEF,C1,2,N,Mid,A1,WB,,1821,,,,,11.9,13.1,13.8,,0,111.2,134.8,149.6,,0,111.2,134.8,149.6,,#DIV/0!,0.211849446,0.10972554,,,0.049209386,0.026369872,,,,,,,,,Not >10 cm DBH,new add; inside 5x5,,,,2015,in
