Site,Stand,Plot,Treatment,Subplot,Species,Tag,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,N,Comments
BEF,C1,3,Control,B2,BE,484,0.026791883,0.013504687,8.227110349,0.048297579,3.392983647,0.796681111,2.237250263,0.029082313,0.128281821,0.652756613,0.013346723,0.024242482,7.208599797,
BEF,C1,3,Control,A1,BE,748,0.029770273,0.016298395,7.674360722,0.059906913,3.295182698,0.900150118,2.637307785,0.007416839,0.129954586,0.668895317,0.01122785,0.024122774,6.529963805,
BEF,C1,3,Control,A2,PC,480,0.034575614,0.016480404,7.315628964,0.052087108,8.868655613,0.927768321,0.068171266,0.027055471,0.262459373,0.495732924,0.022539125,0.022901285,7.115714088,
BEF,C1,3,Control,A2,PC,749,0.031109216,0.0180006,9.518426955,0.052417194,7.797813146,1.612023,0.093694654,0.032598831,0.305695,0.480994676,0.026726724,0.020224229,7.278203276,
BEF,C1,3,Control,B2,PC,750,0.026348152,0.01694438,9.335801857,0.058433723,8.862014911,1.954521087,0.083762334,0.033185077,0.314458594,0.476185868,0.029346803,0.018821536,7.192164327,
BEF,C1,3,Control,A2,WB,481,0.059865157,0.023245513,10.86276631,0.047000517,5.039712178,2.178072744,2.863762312,0.016770736,0.213986094,0.541333869,0.028382878,0.295716894,7.228051657,
BEF,C1,3,Control,B2,WB,483,0.039481915,0.025164273,9.803631005,0.0431309,3.299242084,1.631086751,2.292443109,0.05329934,0.311813022,0.602318893,0.028477158,0.24398445,7.436640549,
BEF,C1,3,Control,B1,WB,486,0.038316931,0.019273068,8.785297131,0.048857004,3.194041484,1.251601926,2.361763051,0.022637626,0.245687409,0.646073748,0.021852491,0.255270232,8.957486675,
BEF,C1,4,NP,B2,BE,756,0.023337197,0.014815949,6.808687514,0.039412961,2.895824693,1.018787872,1.34555238,0.017716148,0.218936595,0.589444679,0.00776011,0.021062532,6.607695126,
BEF,C1,4,NP,B1,BE,757,0.03124466,0.019930692,7.751651372,0.061979203,3.067077853,1.010669105,2.065760891,0.047823459,0.245493757,0.583233654,0.008244764,0.02635604,6.21231257,
BEF,C1,4,NP,B2,BE,761,0.024431039,0.018310664,7.270441614,0.045918579,2.981343611,1.071854001,1.712695702,0.034691234,0.210039652,0.546018996,0.007871756,0.025208963,6.590377317,
BEF,C1,4,NP,B1,PC,2156,0.02851802,0.01666592,8.964455198,0.057375099,9.477520812,1.477724258,0.275955121,0.119343042,0.473125735,0.398960372,0.014517016,0.024722948,6.25590076,
BEF,C1,4,NP,C2,PC,767,0.022624419,0.015701262,8.839653579,0.046776942,6.055109642,1.552510586,0.157479543,0.034170089,1.215054423,0.413224622,0.012027447,0.018850853,6.24541434,
BEF,C1,4,NP,C1,PC,1518,0.022340915,0.01434331,10.09067998,0.053263641,4.492357029,1.728046574,0.200443733,0.030822001,0.510476803,0.420428212,0.017689411,0.021857432,6.72728236,
BEF,C1,4,NP,B1,WB,449,0.02749569,0.023700309,9.614215433,0.045943175,6.242490812,0.89220194,2.16488253,0.011715397,0.308437477,0.442661928,0.018681278,0.170720178,6.223554633,
BEF,C1,4,NP,B1,WB,451,0.033625746,0.031131129,10.08134608,0.03755945,5.927174888,1.15594541,2.64954455,0.001785625,0.337997502,0.53362564,0.017159427,0.17670567,6.693361256,
BEF,C1,4,NP,C1,WB,464,0.035876551,0.019638678,7.69264369,0.055269263,2.542454153,0.888317453,2.31166365,0.147112029,0.538081136,0.466024968,0.014102022,0.173548956,6.550254927,
BEF,C1,5,Ca,A1,PC,1068,0.02151831,0.015955399,16.50431366,0.036970357,3.909658632,2.553644956,0.087001837,0.033195215,0.266863492,0.411794233,0.043956539,0.014644948,5.586838158,
BEF,C1,5,Ca,A2,PC,1065,0.025003763,0.015755436,16.7472662,0.042103534,4.048332489,2.177648185,0.090425166,0.040943114,0.253759727,0.422786914,0.044709005,0.015140194,6.026198172,
BEF,C1,5,Ca,A2,PC,1066,0.033016433,0.015797577,17.13919711,0.044252501,3.95568309,2.12982195,0.098105972,0.040038976,0.27000105,0.435397656,0.047795217,0.015485231,6.170897037,
BEF,C1,5,Ca,A1,WB,1075,0.03688661,0.026201836,12.06557645,0.041231676,3.088851137,1.624668054,1.209140698,-0.000913602,0.270187914,0.586139201,0.032878364,0.317150223,7.249395111,
BEF,C1,5,Ca,B1,WB,2017,0.036850703,0.022869175,14.73601853,0.04599411,3.305693483,1.575266314,0.943966243,0.037085149,0.281761882,0.569491488,0.039067287,0.322470293,7.534395976,
BEF,C1,5,Ca,A2,WB,1067,0.033124062,0.022048588,12.89954992,0.038569675,3.711614665,1.390473624,1.051044109,0.031936673,0.287020616,0.533915667,0.034352396,0.289682005,7.125017781,
BEF,C1,5,Ca,B2,BE,#1,0.039650831,0.021254675,11.1919238,0.037070565,3.390689444,1.500854801,0.98534247,0.059553685,0.129353233,0.656017789,0.022528425,0.029105076,6.192275572,"shot in 2015, next to B3 stake"
BEF,C1,5,Ca,B3,BE,#2,0.034447128,0.021076419,10.41646836,0.037007345,3.068175898,1.509063577,0.910686393,0.054107823,0.132753859,0.598056682,0.020539588,0.031216915,5.932392005,"shot in 2015, near C3 stake"
BEF,C1,5,Ca,C3,BE,#3,0.038728796,0.022345486,10.51992474,0.044558718,3.976036733,1.452446124,0.903030501,0.076041706,0.125284943,0.553295506,0.021365923,0.026787166,5.925631611,"shot in 2015, in C3 subplot"
BEF,C4,1,NP,C3,PC,22,0.020948737,0.039104963,8.16743656,0.053357318,4.852007175,1.746256116,0.157384622,0.069479683,0.809625737,0.39810631,0.022605431,0.017897588,7.673809014,
BEF,C4,1,NP,C2,PC,73,0.023012266,0.031778799,8.683642343,0.048451028,4.177228008,1.891133881,0.142240846,0.040766101,0.532965916,0.447031517,0.019953718,0.018992242,7.63982244,
BEF,C4,1,NP,A1,PC,1,0.023726576,0.029984991,5.962216149,0.05494294,8.094523324,1.16427688,0.09925213,0.037902121,0.432745454,0.420559611,0.014453601,0.014806357,7.182782324,
BEF,C4,1,NP,C1,WB,27,0.029690933,0.02696444,7.954141076,0.056948616,5.451720787,1.364136299,1.230495386,0.025278218,0.451136509,0.466308197,0.021158944,0.153999205,6.264097542,composite sample b/c of GL mishap
BEF,C4,1,NP,B1,WB,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
BEF,C4,1,NP,C2,WB,938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
BEF,C4,1,NP,C1,YB,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.356039432,
BEF,C4,1,NP,C1,YB,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.496017008,
BEF,C4,1,NP,buffer,YB,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.403828442,S of D4 stake
BEF,C4,2,N,buffer,PC,,0.027212478,0.035943773,6.882495258,0.059548761,6.204687576,1.460613371,0.186657804,0.038171181,0.393884101,0.440321641,0.018353336,0.016875781,7.100878428,SE of B1 stake
BEF,C4,2,N,buffer,PC,Buff1,0.020117937,0.046160646,8.023130418,0.048182271,3.096048615,1.797720034,0.099249641,0.037989009,0.607367324,0.398398496,0.020014037,0.014007458,6.986274537,NW of A4 stake
BEF,C4,2,N,buffer,PC,Buff2,0.021553325,0.027296903,8.089432632,0.04560186,3.639388629,1.630106268,0.108268729,0.030262229,0.606259176,0.39723922,0.019949162,0.014574385,7.079380623,NW of A4 stake
BEF,C4,2,N,A3,WB,104,0.024016569,0.028947147,7.676008569,0.054902546,6.658914787,1.088664006,1.835086703,0.059108648,0.220266573,0.018714728,0.771118436,0.215182991,9.706274982,missing
BEF,C4,2,N,B3,WB,193,0.025192622,0.038046011,8.161072966,0.063959117,5.027487014,1.280821828,1.773386494,0.06648788,0.247968784,0.020224311,0.791074111,0.213516122,9.544369735,missing
BEF,C4,2,N,A2,WB,1896,0.022630737,0.012393822,6.467680803,0.056957756,3.436342932,0.744722713,1.635198162,0.015806953,0.107693866,0.499938336,0.013563541,0.114872734,7.110370486,composite sample b/c of GL mishap
BEF,C4,2,N,A1,YB,120,0.04906346,0.033119038,10.67799609,0.120980391,2.639105724,1.656763117,2.494192919,0.113273673,0.34568406,0.023755186,0.800159716,0.210564185,10.57850085,
BEF,C4,2,N,C3,YB,1879,0.022632151,0.080558283,8.342078798,0.102995957,3.282534753,1.169931114,2.36152808,0.119457261,0.255902482,0.017844353,0.723472457,0.18465614,10.17941708,
BEF,C4,2,N,B2,YB,990,0.023676215,0.04667369,8.53671216,0.07034512,1.852654723,1.166108904,2.130687432,0.086511948,0.265192884,0.01904848,0.733530543,0.191109702,10.88403689,
BEF,C4,3,Control,B3,PC,1753,0.025678266,0.04112893,10.34742243,0.054044472,5.725901609,1.988534162,0.567605216,0.070481592,0.353634756,0.444132805,0.031127735,0.01732308,6.215094627,
BEF,C4,3,Control,A3,PC,1757,0.031761167,0.04127493,11.99693441,0.047476781,2.778300202,2.027540995,0.083743382,0.054290469,0.455329739,0.402529299,0.041085667,0.016925352,5.554224876,
BEF,C4,3,Control,buffer,PC,,0.020468614,0.023036315,10.98122335,0.069046856,6.166787863,2.065377753,1.14345471,0.024889352,0.257914212,0.42887434,0.026422528,0.015834199,5.808607057,N of A1 stake
BEF,C4,3,Control,B1,WB,252,0.023685474,0.020889749,7.587003691,0.041627564,4.984466141,1.305934314,1.829157714,0.039379564,0.165698378,0.020063111,0.572534343,0.167565261,5.141315281,
BEF,C4,3,Control,B1,WB,256,0.024603115,0.036674977,7.406085624,0.044140182,3.02622928,1.210338942,1.784429323,0.029918597,0.151150069,0.447679082,0.020351241,0.121903261,5.734881866,
BEF,C4,3,Control,B2,WB,279,0.033846724,0.035741414,9.216071213,0.050335064,5.142628718,1.534527828,1.824105998,0.028842292,0.178976315,0.478688419,0.026824557,0.157999137,5.890340756,
BEF,C4,3,Control,C1,YB,1,0.027774892,0.042366214,11.52871549,0.066067,1.356567501,1.595453576,3.10304182,0.058664132,0.292752708,0.48229887,0.031813364,0.18175941,8.286011968,
BEF,C4,3,Control,C2,YB,2,0.027192202,0.061033509,12.03784349,0.080688084,1.505810896,1.573270286,3.106750286,0.140147484,0.287334715,0.032459729,0.72405302,0.226800529,8.517041867,
BEF,C4,3,Control,C2,YB,437,0.02057271,0.0478381,10.682297,0.072079064,0.939663088,1.462572105,2.991922565,0.046193101,0.22398028,0.4444958,0.028602021,0.166181079,8.308607845,
BEF,C4,4,P,B1,PC,930,0.017375984,0.06402292,16.66416895,0.039747418,1.568145948,2.787553479,0.658816842,0.030691112,2.325586448,0.413580815,0.049177226,0.013841715,5.801080499,
BEF,C4,4,P,buffer,PC,,0.023783372,0.04389265,11.57903711,0.050441991,4.968796668,2.391222111,0.539092161,0.033821355,2.05173852,0.573941629,0.033278633,0.025933423,9.143502737,SW of C3 sub & next to D4 stake
BEF,C4,4,P,buffer,PC,,0.023093438,0.030930894,8.167162694,0.057971122,4.65123742,0.925355602,0.064277253,0.032991385,0.365851769,0.416925003,0.026051076,0.013970797,6.422049502,NE of A1 sub & next to B1 stake
BEF,C4,4,P,B2,WB,837,0.027488059,0.030047763,8.848903628,0.048234878,2.121283981,1.153357112,2.840300176,0.023139252,0.891039883,0.39950619,0.022779039,0.094097603,4.917855045,
BEF,C4,4,P,C1,WB,767,0.021801685,0.029409356,8.231757947,0.052126511,2.515250807,1.179162854,3.136941696,0.023606701,0.655836655,0.381062065,0.022876388,0.110310892,5.01113614,
BEF,C4,4,P,C1,WB,772,0.033660515,0.040232543,6.612016163,0.045584727,2.760798309,0.976020142,2.611392743,0.041022545,0.964123025,0.413849795,0.015512287,0.093219354,4.778750091,
BEF,C4,4,P,A1,YB,708,0.024565804,0.043134311,9.79402798,0.063776912,1.120078761,1.246189041,3.645275178,0.047762567,0.525080851,0.437907811,0.026035001,0.146631891,7.270797965,
BEF,C4,4,P,B1,YB,916,0.024791917,0.052049767,10.74186065,0.074218391,0.954448288,1.381072761,3.73914493,0.046338727,0.500290098,0.446975166,0.027052607,0.115759583,7.675950655,
BEF,C4,4,P,C2,YB,448,0.028762201,0.037449795,10.84191276,0.05533416,1.277501275,1.298043028,3.940552575,0.038714847,0.800608696,0.455206813,0.027181055,0.139165338,7.197399968,
BEF,C6,1,NP,buffer,PC,,0.033601404,0.045804365,10.04429463,0.066790978,6.923916576,1.962021194,0.238798074,0.05173864,0.528086371,0.522866905,0.021825252,0.02128945,8.925115962,N of A2 stake
BEF,C6,1,NP,buffer,PC,,0.028342651,0.047585229,9.850866772,0.059059791,6.774995121,2.088202497,0.224610534,0.036345493,0.472511436,0.490446404,0.020672771,0.020952116,8.523466731,W side of C1
BEF,C6,1,NP,buffer,PC,,0.029824616,0.041880362,8.931596989,0.062543408,4.300103974,1.752048634,0.238314875,0.029959236,0.609640679,0.48758783,0.020923729,0.017764092,8.809648255,N of plot A3
BEF,C6,1,NP,A3,WB,312,0.029609978,0.025960196,9.821950723,0.046270811,3.029123391,1.02621848,1.692145875,0.009166845,0.381211423,0.542075391,0.025839829,0.121492563,7.408289244,
BEF,C6,1,NP,C1,WB,363,0.03525138,0.028519191,9.545547096,0.054942926,3.709404737,0.857586837,1.634804241,0.02534573,0.457912897,0.571335408,0.025473872,0.155976981,7.888031381,
BEF,C6,1,NP,B3,WB,8889,0.034431025,0.035640976,9.865772899,0.05360263,3.597560241,0.85735595,1.72904022,0.030287646,0.639722899,0.610191733,0.023884162,0.161735484,8.121928368,
BEF,C6,1,NP,A3,YB,313,0.028185428,0.038583101,8.878119533,0.047074343,2.619187324,1.233093007,2.08504848,0.025823543,0.492440488,0.610182461,0.025730398,0.11495715,10.38395019,
BEF,C6,1,NP,C2,YB,370,0.037860058,0.045937802,9.142439381,0.044240549,3.006797989,0.823316684,1.913289281,0.043571779,0.516463933,0.546745239,0.025000522,0.14462275,8.826696299,
BEF,C6,1,NP,C3,YB,395,0.025434794,0.045230323,10.72915225,0.053149594,3.330988928,1.632781233,2.836045653,0.027135884,0.640653363,0.565818575,0.026345326,0.112900907,9.335654054,
BEF,C6,2,Control,B3,PC,674,0.026152027,0.045286818,13.25267788,0.049059509,5.30287501,2.213541111,0.69353976,0.029196127,1.124451146,0.522274671,0.026156063,0.027108821,8.576741488,
BEF,C6,2,Control,buffer1,PC,,0.020936013,0.045106531,12.42823168,0.061993089,4.4783859,2.886723321,0.215339124,0.028842036,0.49094293,0.669928098,0.022751151,0.019029423,11.56781141,S of C2
BEF,C6,2,Control,buffer2,PC,,0.026543086,0.044007327,12.92291845,0.060323519,4.930303089,2.699336927,0.274711446,0.052291176,0.85437315,0.53593882,0.023499126,0.020814438,8.888246635,S of C2 stake
BEF,C6,2,Control,A2,WB,650,0.027613804,0.029891493,7.027432826,0.049847851,3.367779662,1.173764339,1.832151185,0.021627507,0.172780369,0.567549584,0.014005441,0.101185996,8.106900709,
BEF,C6,2,Control,B1,WB,8846,0.038411336,0.037201031,8.528269975,0.058678058,4.440666747,1.371200257,2.034708893,0.016649074,0.178629164,0.633503748,0.018321752,0.211677644,8.039869677,
BEF,C6,2,Control,B3,WB,8849,0.024704273,0.033678311,7.965257045,0.042842462,2.916405376,0.999593343,2.017950887,0.00455761,0.209485564,0.536885071,0.018049693,0.146016385,7.533746418,
BEF,C6,2,Control,B2,YB,693,0.030727447,0.050574562,11.48547958,0.06951245,1.881028038,1.560137827,2.784265541,0.079676066,0.30628373,0.65500105,0.027477417,0.260224601,11.12693744,
BEF,C6,2,Control,C2,YB,722,0.044119104,0.053491556,10.7622351,0.08351644,2.07481922,1.405665475,2.81598924,0.101151172,0.308444903,0.642045379,0.024393665,0.201627495,10.96457664,
BEF,C6,2,Control,C3,YB,731,0.026710482,0.040411706,11.8993387,0.06237811,1.521849814,1.322498479,3.064516626,0.059810124,0.281420915,0.613732293,0.027050643,0.213917793,10.92534425,
BEF,C6,3,N,C1,PC,1236,0.037301098,0.05029021,9.849543279,0.073219491,6.50653534,2.193665353,0.279545232,0.032633335,0.334342919,0.626831399,0.01867436,0.018806637,11.66389742,
BEF,C6,3,N,buffer,PC,,0.026362343,0.047507326,10.21043165,0.06266966,6.463480918,2.39455805,0.813275653,0.017408689,0.326902123,0.57410886,0.019737832,0.018029225,10.45213255,S of C3
BEF,C6,3,N,buffer,PC,,0.020231226,0.055747985,12.66188663,0.055343289,5.591643479,2.30467027,0.510228085,0.023283487,0.459514939,0.566258103,0.025965289,0.022120951,9.868868922,E of D4 stake
BEF,C6,3,N,A1,WB,402,0.027061101,0.026219686,6.31924322,0.054986251,3.149517322,1.040093821,1.863511767,-0.000895269,0.424463335,0.643996463,0.015906673,0.070997084,9.580710437,
BEF,C6,3,N,C2,WB,1225,0.032819351,0.023760458,9.375102382,0.057253716,3.8954703,1.229086677,2.512042485,0.005920889,0.462373359,0.70291623,0.021729765,0.148828972,10.1510958,
BEF,C6,3,N,B3,WB,1273,0.035305845,0.026169669,10.74818648,0.060444149,5.384084823,1.154519932,2.44971351,0.000718913,0.212908606,0.726131633,0.029696163,0.127512825,10.72206747,
BEF,C6,3,N,A2,YB,407,0.028451644,0.047341505,8.44112151,0.046785041,4.058859146,1.332841542,2.229710169,0.036051783,0.204638527,0.632284853,0.022149429,0.123381736,9.04725294,
BEF,C6,3,N,C2,YB,1230,0.020797658,0.066400004,7.611714125,0.05361228,3.826905113,1.205091842,2.475519204,0.045833306,0.209126726,0.650588852,0.017414374,0.097894913,11.47990468,
BEF,C6,3,N,A3,YB,1286,0.021431669,0.032775884,8.218080164,0.05000345,2.858250014,1.024603952,2.290154661,0.023790775,0.219096009,0.571939181,0.023803193,0.13949864,9.979439484,
BEF,C6,4,P,A3,PC,439,0.027858544,0.058721206,15.63825026,0.056273914,4.756001413,2.388629011,0.424632658,0.029795977,1.818260703,0.500081781,0.035163332,0.021072077,8.256777886,
BEF,C6,4,P,C1,PC,455,0.024341126,0.051756837,14.77814115,0.068987045,4.973601143,2.42471689,1.079650132,0.033745433,2.226604346,0.501506056,0.030143208,0.019425806,7.852109635,
BEF,C6,4,P,buffer,PC,,0.032465869,0.037268687,10.19981426,0.069691631,5.448312784,2.489116823,0.818947181,0.02060977,0.776777649,0.537363143,0.023213677,0.01990901,9.818371088,W of A2 stake
BEF,C6,4,P,A2,WB,429,0.041366855,0.048925708,8.994742122,0.048806629,5.069207303,0.881731343,3.008831193,0.014147848,0.859249105,0.552551597,0.019837754,0.135691923,7.268923844,
BEF,C6,4,P,B2,WB,462,0.035975897,0.038738056,8.498582645,0.051254157,3.272396416,0.867492157,2.338435083,0.011958784,0.559157059,0.521237674,0.019186878,0.103846023,6.62789225,
BEF,C6,4,P,B1,WB,8861,0.035665895,0.055900048,7.771868423,0.053944996,6.072983078,0.999982881,2.080725991,0.022360074,1.048626461,0.546170548,0.016722389,0.087609553,7.31582933,
BEF,C6,4,P,C1,YB,931,0.01974603,0.05642548,10.36955055,0.045808228,4.445159962,1.262918687,2.867498805,0.045412987,0.936919235,0.50602999,0.028964099,0.151741293,7.579850094,
BEF,C6,4,P,C1,YB,8860,0.022329288,0.060960538,10.95140736,0.048727239,6.082775828,1.533311215,3.536338167,0.040900852,1.153934631,0.52488298,0.027112958,0.178700976,7.457058147,
BEF,C6,4,P,A2,YB,8870,0.028190229,0.055185609,11.22532368,0.047005206,4.082261377,1.277661789,3.556327468,0.040996735,0.794535097,0.563707001,0.027148289,0.182710801,8.807264996,
BEF,C6,5,Ca,A2,WB,578,0.033717929,0.034578446,12.71308864,0.050170431,3.77761075,1.389609729,1.090161117,0.006566105,0.187412444,0.698767369,0.031680179,0.202838113,8.83357796,
BEF,C6,5,Ca,B2,WB,826,0.031563051,0.024822852,13.40065784,0.047784483,5.180989926,1.410232673,1.036002616,0.002813783,0.177956041,0.621840693,0.032173454,0.217833744,7.838032979,
BEF,C6,5,Ca,C1,WB,837,0.040034029,0.028959499,15.65735762,0.049992389,5.37616069,1.474629428,1.301283989,0.012894645,0.19730654,0.61670156,0.035620468,0.256625491,7.821999487,
BEF,C6,5,Ca,A3,YB,590,0.043816326,0.075309943,19.14760188,0.153593165,3.768916053,2.351500883,1.337245037,0.091246127,0.332043709,0.678882817,0.051881777,0.351621721,11.72984977,
BEF,C6,5,Ca,B3,YB,815,0.023409684,0.040928643,25.01036389,0.045373206,4.061503806,2.119934709,1.623471313,0.044078948,0.194180987,0.571783153,0.061073896,0.313032941,9.693743545,
BEF,C6,5,Ca,C3,YB,854,0.02579908,0.063233642,27.67035216,0.050781254,1.795377741,2.45287784,1.858098974,0.080255377,0.208837729,0.613847645,0.066388217,0.434537209,9.6894389,
BEF,C8,1,P,C1,YB,224,0.030810956,0.057824202,17.19168344,0.064902134,3.839791649,2.651980711,3.763037768,0.027276569,1.56687374,0.479195298,0.056567962,0.302510577,7.870100945,
BEF,C8,2,Control,buffer,YB,2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
BEF,C8,2,Control,buffer,YB,2880,0.022541734,0.049701575,15.5033813,0.055300742,5.606392199,2.805719473,3.604549212,0.006926786,1.064477886,0.470395123,0.056478415,0.295585484,7.324307314,
BEF,C8,2,Control,buffer,YB,1046,0.032420734,0.042719032,12.36291279,0.057543222,7.405822924,2.296219391,4.067481072,0.021962911,0.667211792,0.538926274,0.046152825,0.322022737,7.134375993,could be on edge of plot
BEF,C8,3,N,B1,YB,18,0.02848447,0.03480291,9.625437167,0.041938927,4.508656108,2.01519581,2.919184595,0.024773016,0.317411312,0.835969214,0.030510767,0.195631347,7.918314087,
BEF,C8,3,N,B3,YB,31,0.024392084,0.038467962,9.964707318,0.049242341,3.38313858,1.754312935,3.728195677,0.020396789,0.47628715,0.927408229,0.0302815,0.219413216,8.030255787,
BEF,C8,3,N,buffer,YB,,0.021051111,0.034297416,8.881143908,0.0412677,3.594215253,2.040153466,2.667182436,0.019351632,0.269833449,0.737361501,0.026624908,0.16910085,7.858391709,W of C1 sub
BEF,C8,4,NP,C2,YB,180,0.030634501,0.042090745,9.10629308,0.060915714,7.681469756,1.316453606,3.944729581,0.028474067,0.942482591,0.940437468,0.019088836,0.136114398,9.20808766,
BEF,C8,4,NP,C2,YB,409,0.030803516,0.04195154,8.538801539,0.063027314,6.920489581,1.319559109,3.412303133,0.028226465,0.805009831,0.683873364,0.01741927,0.115310137,9.183708932,
BEF,C8,4,NP,C1,YB,562,0.032890282,0.036940104,10.87172777,0.06326613,5.80893273,1.394510184,4.236544004,0.018207145,0.897827333,0.70007291,0.023037609,0.166616012,8.581258666,
BEF,C8,5,Ca,A1,YB,531,0.027658068,0.038102497,11.76172723,0.0464083,5.762633611,1.370635862,1.492343374,0.028628459,0.209512534,0.595930555,0.023377742,0.193944767,6.715513914,
BEF,C8,5,Ca,B3,YB,1012,0.035391281,0.035074913,13.47300957,0.057126272,3.905142446,1.200647477,1.727349569,0.021805174,0.208391148,0.659521752,0.024123888,0.245699599,7.301993259,
BEF,C8,5,Ca,C3,YB,547,0.026740901,0.032789033,14.82456486,0.05377517,3.451582257,1.294406147,2.095050102,0.020361721,0.228399899,0.595196547,0.03072171,0.141206451,7.811407828,
BEF,C9,1,Control,A1,YB,50,0.029837223,0.050396857,11.26420291,0.054319301,4.406174102,1.813724402,2.344199726,0.018655317,0.177131747,0.522365615,0.033904887,0.349473412,8.909917019,
BEF,C9,1,Control,A2,YB,53,0.02292705,0.043815605,13.21913153,0.049777884,6.397391314,1.914414864,2.503775086,0.016072588,0.189715475,0.489822514,0.038027354,0.334862556,8.361865245,
BEF,C9,1,Control,B1,YB,72,0.02601634,0.039539176,12.19157377,0.053288089,4.189650003,1.867483654,2.357590897,0.017083292,0.158552237,0.468542775,0.036603731,0.349635667,8.133994164,
