"","Site","Stand","Treatment","Species","PlotID","Nmid","Camid","Kmid","Mgmid","Pmid","Plot"
"35","BEF","C2","NP","YB","C2_1",9.806,8.77,4.64,1.425,1.11,1
"36","BEF","C2","P","BE","C2_3",9.9075,7.46,7.23,1.31,0.485,3
"37","BEF","C2","P","PC","C2_3",8.164,15.66,11.95,2.165,1.375,3
"38","BEF","C2","P","RM","C2_3",8.1725,6.42,3.53,1.085,0.63,3
"39","BEF","C2","P","WB","C2_3",8.0365,12.35,9.405,1.965,0.955,3
"40","BEF","C2","P","YB","C2_3",8.564,14.85,6.185,2.925,0.565,3
"41","BEF","C4","Control","BE","C4_3",9.03,11.06680657,4.860647412,1.92163856,0.20550174,3
"42","BEF","C4","Control","PC","C4_3",5.85930885333333,11.10852673,4.89032989133333,2.02715097,0.355626235666667,3
"43","BEF","C4","Control","RM","C4_3",8.83,7.396291249,3.926427277,1.19051618,0.446378368,3
"44","BEF","C4","Control","WB","C4_3",5.58884596766667,8.069720176,4.38444137966667,1.350267028,0.165274920666667,3
"45","BEF","C4","Control","YB","C4_3",8.37055389333333,11.4162853266667,1.26734716166667,1.54376532233333,0.268022567666667,3
"46","BEF","C4","N","BE","C4_2",12.75,6.768951493,5.61967866,1.367651217,0.320641093,2
"47","BEF","C4","N","PC","C4_2",7.055511196,7.665019436,4.31337494,1.629479891,0.535836867,2
"48","BEF","C4","N","RM","C4_2",13.85,7.624540003,6.134565668,1.330577313,0.72313076,2
"49","BEF","C4","N","WB","C4_2",8.78700506766667,7.43492077933333,5.040914911,1.03806951566667,0.191976407666667,2
"50","BEF","C4","N","YB","C4_2",10.5473182733333,9.18559568266667,2.59143173333333,1.33093437833333,0.288926475333333,2
"51","BEF","C4","NP","BE","C4_1",11.66,9.446895378,6.551839856,1.423498463,0.372582848,1
"52","BEF","C4","NP","PC","C4_1",7.49880459266667,7.604431684,5.70791950233333,1.60055562566667,0.591779035666667,1
"53","BEF","C4","NP","RM","C4_1",15.63,6.375604272,5.851500576,1.171835654,1.008630346,1
"54","BEF","C4","NP","WB","C4_1",6.264097542,7.954141076,5.451720787,1.364136299,0.451136509,1
"55","BEF","C4","NP","YB","C4_1",8.418628294,7.46827004666667,7.70974727833333,1.095,0.591779035666667,1
"56","BEF","C4","P","BE","C4_4",9.4,9.429692683,6.520332874,1.33658944,0.713063417,4
"57","BEF","C4","P","PC","C4_4",7.12221091266667,12.1367895846667,3.72939334533333,2.03471039733333,1.58105891233333,4
"58","BEF","C4","P","RM","C4_4",16.14,6.431135698,5.869843017,1.205971664,1.615930269,4
"59","BEF","C4","P","WB","C4_4",4.90258042533333,7.897559246,2.465777699,1.10284670266667,0.836999854333333,4
"60","BEF","C4","P","YB","C4_4",7.38138286266667,10.45926713,1.11734277466667,1.30843494333333,0.608659881666667,4
"61","BEF","C6","Control","BE","C6_2",10.57,7.487415094,5.994655295,0.884543199,0.334386265,2
"62","BEF","C6","Control","PC","C6_2",9.67759984433333,12.86794267,4.90385466633333,2.59986711966667,0.823255742,2
"63","BEF","C6","Control","RM","C6_2",12.76,5.6670239,6.379622547,0.831157435,0.594973518,2
"64","BEF","C6","Control","WB","C6_2",7.89350560133333,7.84031994866667,3.574950595,1.181519313,0.186965032333333,2
"65","BEF","C6","Control","YB","C6_2",11.0056194433333,11.3823511266667,1.825899024,1.429433927,0.298716516,2
"66","BEF","C6","N","BE","C6_3",11,7.561061706,3.36875464,0.97367415,0.195047613,3
"67","BEF","C6","N","PC","C6_3",10.661632964,10.9072871863333,6.18721991233333,2.29763122433333,0.373586660333333,3
"68","BEF","C6","N","RM","C6_3",14.91,8.681345937,5.094722212,1.048377109,0.76022976,3
"69","BEF","C6","N","WB","C6_3",10.1512912356667,8.81417736066667,4.14302414833333,1.14123347666667,0.366581766666667,3
"70","BEF","C6","N","YB","C6_3",10.1688657013333,8.09030526633333,3.581338091,1.18751244533333,0.210953754,3
"71","BEF","C6","NP","BE","C6_1",11.5,7.319569063,8.106850831,0.69409562,0.482961668,1
"72","BEF","C6","NP","PC","C6_1",8.75274364933333,9.60891946366667,5.99967189033333,1.934090775,0.536746162,1
"73","BEF","C6","NP","RM","C6_1",15.27,5.784148266,8.369779338,1.08134946,1.408261562,1
"74","BEF","C6","NP","WB","C6_1",7.80608299766667,9.74442357266667,3.44536278966667,0.913720422333333,0.492949073,1
"75","BEF","C6","NP","YB","C6_1",9.51543351433333,9.58323705466667,2.98565808033333,1.229730308,0.549852594666667,1
"76","BEF","C6","P","BE","C6_4",9.25,8.706737091,6.092938532,1.007652172,0.634979966,4
"77","BEF","C6","P","PC","C6_4",8.64241953633333,13.5387352233333,5.05930511333333,2.43415424133333,1.60721423266667,4
"78","BEF","C6","P","RM","C6_4",11.13,6.25317893,7.44657811,0.600929593,2.121942438,4
"79","BEF","C6","P","WB","C6_4",7.070881808,8.42173106333333,4.80486226566667,0.916402127,0.822344208333333,4
"80","BEF","C6","P","YB","C6_4",7.94805774566667,10.84876053,4.87006572233333,1.357963897,0.961796321,4
"81","BEF","C8","Control","BE","C8_2",8.11,9.213791827,4.258875159,1.102245736,0.356252187,2
"82","BEF","C8","Control","SM","C8_2",7.28,8.847771557,8.070545056,1.21871922,0.401096895,2
"83","BEF","C8","Control","YB","C8_2",7.2293416535,13.933147045,6.5061075615,2.550969432,0.865844839,2
"84","BEF","C8","N","BE","C8_3",9.23,7.282615656,5.976649108,1.272009818,0.405580761,3
"85","BEF","C8","N","SM","C8_3",12.54,4.170993751,7.13829591,0.260639362,0.59665855,3
"86","BEF","C8","N","YB","C8_3",7.935653861,9.49042946433333,3.82866998033333,1.93655407033333,0.354510637,3
"87","BEF","C8","NP","BE","C8_4",8,6.004337643,5.296597823,0.559009415,0.270325184,4
"88","BEF","C8","NP","SM","C8_4",12.85,3.197564335,5.767008357,0.210177968,0.717456773,4
"89","BEF","C8","NP","YB","C8_4",8.99101841933333,9.505607463,6.803630689,1.343507633,0.881773251666667,4
"90","BEF","C8","P","BE","C8_1",10.54,5.014261451,7.183082855,0.779552578,1.086089821,1
"91","BEF","C8","P","SM","C8_1",10.72,6.711802353,8.163027518,0.31043431,2.06439091,1
"92","BEF","C8","P","YB","C8_1",7.870100945,17.19168344,3.839791649,2.651980711,1.56687374,1
"93","BEF","C9","Control","BE","C9_1",10.48,7.400341493,5.136255889,1.375815598,0.276849129,1
"94","BEF","C9","Control","SM","C9_1",11.18,5.454398047,6.368163331,0.322689298,0.394413861,1
"95","BEF","C9","Control","YB","C9_1",8.46859214266667,12.2249694033333,4.997738473,1.86520764,0.175133153,1
"96","BEF","C9","N","BE","C9_4",10.73,5.770333429,4.400890313,0.761739489,0.242898385,4
"97","BEF","C9","N","SM","C9_4",11.11,4.026545752,5.571363937,0.354506227,0.298643228,4
"98","BEF","C9","N","YB","C9_4",11.5162676833333,11.37953661,2.35393570066667,1.67728693833333,0.269202588333333,4
"99","BEF","C9","NP","BE","C9_3",9.94,7.744589813,5.991921954,1.306923232,0.326616887,3
"100","BEF","C9","NP","SM","C9_3",14.51,5.201663168,6.480516133,0.273549304,0.804253485,3
"101","BEF","C9","NP","YB","C9_3",10.2171056133333,11.4045352823333,8.05856549933333,1.79926454866667,0.561814710666667,3
"102","BEF","C9","P","BE","C9_2",13.16,5.132096969,11.66300427,0.719094879,0.573763417,2
"103","BEF","C9","P","SM","C9_2",11.71,5.184425446,7.665865981,0.30415417,0.734075628,2
"104","BEF","C9","P","YB","C9_2",9.27525488,14.76730445,5.207601249,2.103245291,0.891199462666667,2
"105","HB","Ca","Ca","BE","Ca_1",9.62,8.923033985,4.645832402,1.498338316,0.615331199,1
"106","HB","Ca","Ca","SM","Ca_1",10.37,7.483526185,5.603230274,0.549481537,0.651625424,1
"107","HB","Ca","Control","BE","Ca_2",10.84,8.873406974,6.816135679,1.862613945,0.4216041,2
"108","HB","Ca","Control","SM","Ca_2",8.83,6.318758427,4.398108471,0.952840709,0.254625857,2
"109","HB","HBM","Control","BE","HBM_3",10.92,5.402807318,5.119387035,1.005163845,0.274671019,3
"110","HB","HBM","Control","RM","HBM_3",14.34,5.709503287,3.660091318,0.920581753,0.719310522,3
"111","HB","HBM","Control","WB","HBM_3",7.386062173,11.75016601,4.025,1.92163856,0.891199462666667,3
"112","HB","HBM","Control","YB","HBM_3",10.22542322,10.92508375,11.66300427,1.92163856,0.573763417,3
"113","HB","HBM","N","BE","HBM_2",12.47,7.612629984,3.574174119,1.262109373,0.308911974,2
"114","HB","HBM","N","RM","HBM_2",11,6.28665082,5.305763429,0.882956421,0.579653041,2
"115","HB","HBM","N","WB","HBM_2",8.087957579,5.584151719,4.041905732,0.842093315,0.224627423,2
"116","HB","HBM","N","YB","HBM_2",12.46210925,10.73973177,2.077506315,1.875977114,0.531890134,2
"117","HB","HBM","NP","BE","HBM_1",9.73,6.945541272,3.983879443,0.632118656,0.265160923,1
"118","HB","HBM","NP","RM","HBM_1",11.51,7.323871919,4.368642254,0.942969449,0.838560136,1
"119","HB","HBM","NP","WB","HBM_1",9.227846829,10.0212898926667,1.05979723,1.92463867466667,0.615331199,1
"120","HB","HBM","NP","YB","HBM_1",9.134821172,8.921844189,2.655011925,1.653913885,0.499450941,1
"121","HB","HBM","P","BE","HBM_4",9.84,4.537732956,3.063210725,0.881493292,0.396041871,4
"122","HB","HBM","P","RM","HBM_4",12.78,5.397643324,8.941737638,1.23336477,2.563819004,4
"123","HB","HBM","P","WB","HBM_4",8.279898366,6.988423976,6.800063962,1.000231756,1.315826277,4
"124","HB","HBM","P","YB","HBM_4",8.648964806,9.964422823,4.035689033,1.738762635,0.800272666,4
"125","HB","HBO","Control","BE","HBO_4",10.01,6.927749263,2.847626869,1.85582148,0.284167016,4
"126","HB","HBO","Control","SM","HBO_4",8.95,3.30413232,3.111678061,0.67175974,0.338886969,4
"127","HB","HBO","Control","YB","HBO_4",7.75821264,9.134956693,1.804564977,2.249292725,0.23246984,4
"128","HB","HBO","N","BE","HBO_2",11.66,6.515837074,3.318477714,1.221908399,0.584155264,2
"129","HB","HBO","N","SM","HBO_2",9.75,4.064714114,3.056090642,0.770676858,0.33325706,2
"130","HB","HBO","N","YB","HBO_2",10.17973406,8.956311521,3.023312619,2.197860558,0.34149811,2
"131","HB","HBO","NP","BE","HBO_3",11.41,6.166902598,2.420273911,1.280017996,0.441329339,3
"132","HB","HBO","NP","SM","HBO_3",10.81,4.680653747,3.016012688,0.922730224,0.462732186,3
"133","HB","HBO","NP","YB","HBO_3",8.873748247,9.347495527,1.440800735,2.208788453,0.510613816,3
"134","HB","HBO","P","BE","HBO_1",11.01,4.068588826,4.87111182,1.009135702,0.798231142,1
"135","HB","HBO","P","SM","HBO_1",7.07,3.881620633,2.835316477,0.582945904,0.249107343,1
"136","HB","HBO","P","YB","HBO_1",7.180548421,12.01611844,3.750408547,2.978858479,1.51912201,1
"137","JB","JBM","Control","BE","JBM_3",9.8,9.694297042,4.999417332,1.618162894,0.259245545,3
"138","JB","JBM","Control","PC","JBM_3",8.208184573,9.012889659,1.233985268,1.362485086,0.28216593,3
"139","JB","JBM","Control","RM","JBM_3",10.87,10.27973595,6.521083724,0.518594462,0.32627219,3
"140","JB","JBM","Control","WB","JBM_3",9.270233112,7.832692703,1.251867662,1.038398208,0.2658437,3
"141","JB","JBM","Control","YB","JBM_3",10.32282653,10.92508375,1.098681125,1.358060857,0.258970905,3
"142","JB","JBM","N","BE","JBM_2",11.86,8.585601805,5.111870705,1.533186508,0.192237321,2
"143","JB","JBM","N","PC","JBM_2",13.27072587,7.73728934933333,1.05979723,1.36289473133333,0.31204138,2
"144","JB","JBM","N","RM","JBM_2",10.99,10.28988162,4.904420067,0.662572668,0.258533984,2
"145","JB","JBM","N","WB","JBM_2",10.799745134,5.51528749366667,1.36491621933333,0.892706311333333,0.295456613,2
"146","JB","JBM","N","YB","JBM_2",12.92294423,7.58132950433333,0.987446428333333,1.19281316366667,0.262112162,2
"147","JB","JBM","NP","BE","JBM_1",10.68,7.781176656,5.803500631,1.053348055,0.314496779,1
"148","JB","JBM","NP","PC","JBM_1",10.9822149033333,7.23013708066667,2.15643181166667,1.71896786833333,0.654287972666667,1
"149","JB","JBM","NP","RM","JBM_1",11.58,9.181710437,5.581787057,0.745537471,0.592326648,1
"150","JB","JBM","NP","WB","JBM_1",9.320921512,6.97310742,1.59256682066667,1.024689076,0.358505819666667,1
"151","JB","JBM","NP","YB","JBM_1",11.304079595,7.742136285,0.874097906,0.990996489,0.393695359,1
"152","JB","JBM","P","BE","JBM_4",13.41,8.406096615,5.741615804,1.315431733,0.684858046,4
"153","JB","JBM","P","PC","JBM_4",9.43848762333333,10.0212898926667,1.59931491166667,1.92463867466667,0.774331718666667,4
"154","JB","JBM","P","RM","JBM_4",7.94,13.36025429,4.081599243,0.930139735,0.290954944,4
"155","JB","JBM","P","WB","JBM_4",7.728987714,6.8950991505,1.2686518015,1.3479024595,0.3718123525,4
"156","JB","JBM","P","YB","JBM_4",9.45615589433333,8.982806839,1.12482073833333,1.45518265566667,0.490403051333333,4
"157","JB","JBO","Control","BE","JBO_4",12.14,9.272669722,4.095973036,0.770184124,0.229601575,4
"158","JB","JBO","Control","SM","JBO_4",8.89,5.623081051,4.973829802,0.557518507,0.229750546,4
"159","JB","JBO","Control","YB","JBO_4",11.29344569,11.023295225,1.1529905555,1.08705884,0.3068468405,4
"160","JB","JBO","N","BE","JBO_3",10.99,6.268239981,3.241632722,1.096246123,0.275221288,3
"161","JB","JBO","N","SM","JBO_3",11.53,4.658532371,4.215488918,0.601317448,0.283889939,3
"162","JB","JBO","N","YB","JBO_3",11.14035483,7.46827004666667,1.038092317,1.08275719566667,0.307054384666667,3
"163","JB","JBO","NP","BE","JBO_1",10.1,7.2434281,1.733149041,1.549343652,0.241849927,1
"164","JB","JBO","NP","SM","JBO_1",11.04,10.87671463,6.579763607,0.93548191,0.368642532,1
"165","JB","JBO","NP","YB","JBO_1",10.1012124953333,11.75016601,1.22449599,1.37084359,0.452340329,1
"166","JB","JBO","P","BE","JBO_2",9.29,6.562407016,4.226377023,1.62054227,0.351115757,2
"167","JB","JBO","P","SM","JBO_2",10.16,8.414935898,5.99282849,0.817313346,0.293164885,2
"168","JB","JBO","P","YB","JBO_2",11.897807,11.59435696,1.29535512066667,1.196410405,0.557877671333333,2
